"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tfoMZ_a1Yrkagybs2pdshQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.31017&pitch=0&thumbfov=100","Arak Society","5","1","Uluwatu St No.145","Badung Regency","Bali","ID",,"","Bar","https://www.google.com/maps/search/?api=1&query=Arak%20Society&query_place_id=ChIJqQKPZABF0i0RVEMtFuQPl8I"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwHdgTE_fe-XJt-Fci7ef9XE_FomFAQdYddjHjzeOD7HvaL1QVNPqrBdvFiPogK6JFg62DqwhUCKGukwp0McW0FS1effEgF2I7VQhKsnpz8GS7J61qZC-PGESN9YI8K2D_HB4=w408-h306-k-no","High Tide Bar - Bandar Udara Internasional I Gusti Ngurah Rai","4.9","3736","I Gusti Ngurah Rai Airport","Badung Regency","Bali","ID",,"+62 361 8491932","Bar","https://www.google.com/maps/search/?api=1&query=High%20Tide%20Bar%20-%20Bandar%20Udara%20Internasional%20I%20Gusti%20Ngurah%20Rai&query_place_id=ChIJ8zQG9OtF0i0RolDeajJeGsY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHS3BIfSbFnwZWRHml5jte68XiRJCuVxASXTOx2AHNy7xSB2Qo-Vya8CDe8bQ1Sh5din0FJLGi_tyuxxNMsLp-6hdOcdFPwePqnS0MBNo7guyRKx6tnOEczL_yA3q74Ka1IVQ0=w408-h306-k-no","Boshe VVIP Club","4.5","2741","Jl. Bypass Ngurah Rai No.89","Badung Regency","Bali","ID",,"+62 361 754461","Karaoke bar","https://www.google.com/maps/search/?api=1&query=Boshe%20VVIP%20Club&query_place_id=ChIJ3d3CfrJG0i0R-1z3OGJlWY8"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFqGvAN4QE4i1qkia-r1ac6AYulDJTI6CgdUm2nDU7f3kDYOsfZrgpqSUdyngaU-k_zXNhMRLl0FIwAeod7vO7oq-h33qUvBOySzzTGo3kdBAWXo_pWkF2-3Fl5NkVC-Hr19vIGeTjvI32=w408-h272-k-no","Bintang Carnival Beach Club","5","175","Jl. Pantai Kelan No.99","Badung Regency","Bali","ID","https://bintangcarnivalbeachclub.com/","+62 822-6621-7703","Disco club","https://www.google.com/maps/search/?api=1&query=Bintang%20Carnival%20Beach%20Club&query_place_id=ChIJe0XYIwBF0i0R7k4lBSA5Aqs"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGdf5Mqs6zwtpVCNBySSbqUGUtuPqYFplFpjM0q1i2IJHXgeT0iJlKz8k8zWc_3WrljAlmuVdkKc86EzSI0IQ8oOY3o-GOClrAs-IzMOSzY0K6a5XGrQW4N18Beq9WU6SkM9XMKA=w408-h544-k-no","Kawan Bar","5","17","Jl. Pasir Putih No.6","Badung Regency","Bali","ID","https://instagram.com/kawan.bar?utm_medium=copy_link","+62 858-1163-6474","Bar","https://www.google.com/maps/search/?api=1&query=Kawan%20Bar&query_place_id=ChIJe0YuCIhF0i0RaVHehfagMiQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1SIHsLllahj6VyfRcYW1oOVE0nOG5RiXrtiYlKd6vs_Q2upnKTusR2esN1MJzXHc9jrVQCNEVoPpsoIRHV8c51zBcxNOkcEZ2sH1IAugCZ13M2PeGQwisbjUdyAOWMs3xwHR1=w426-h240-k-no","The Replay Kitchen Alpukat Kocok Kelan","4.7","15","Uluwatu St No.35a","Badung Regency","Bali","ID","https://www.instagram.com/thereplay.kitchen?igsh=aDl2M3JoZGx3NGE=","+62 819-9969-9719","Bar","https://www.google.com/maps/search/?api=1&query=The%20Replay%20Kitchen%20Alpukat%20Kocok%20Kelan&query_place_id=ChIJIQBEwB1F0i0RU3Qe3E4uNEM"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzORTT8_TH1zFB7NltZ2aL5OI17Qx2W5_zz0x_SsNNUBO12QJqJqV0HBFVcSMKt79cBfodUYnwD8QYQC8kWQ5ALwea6fQ-fbusA07Y9Uj6vipmiaTYpWVq5beileSxxdyyuZiSUyTJu3U1=w408-h544-k-no","The Infinity Sunset Bar","4.5","15","R Floor Platinum Hotel Jimbaran Beach, Jl. Pantai Kedonganan No.91-93","Badung Regency","Bali","ID","https://platinumhotelindonesia.com/platinum/platinum-hotel-jimbaran-beach-bali","+62 811-3901-2828","Bar","https://www.google.com/maps/search/?api=1&query=The%20Infinity%20Sunset%20Bar&query_place_id=ChIJS2j6JYRF0i0RpGoGoFxtayA"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBtNJ1ZnfRLuSc_5wI99RSHc-0FQBS8FzV6kjFhjBiLuutZXRck_-VfzWhX83v-aRECcyyIJ2kycucWkL9ew5u03kGWuXmMwlV3Z9UXRGKzBIaD9akT9G7QnoJDQWWRiSm7vqH=w408-h306-k-no","JRT","5","2","Jl. Pelita No.12","Badung Regency","Bali","ID",,"","Night club","https://www.google.com/maps/search/?api=1&query=JRT&query_place_id=ChIJgR5zwJ5F0i0RtDTfRO0mVmc"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdue4ZFRIgbpAK4HaJ3IOZoKCmCWaGgZk4hqEp_5xhwQiZcc3sAhLYWgj6jlGCNztKHdWEWtcD2w4dnvwrl4TtB6hpgpI8zyhxKzGMcuNIQW4L-jJn2AyLnnXVqhgkQK8BB1BUmw=w408-h544-k-no","Made & Jimmy’s Beach Bar","4.7","31","Jl. Raya Kuta No.1","Badung Regency","Bali","ID",,"","Bar","https://www.google.com/maps/search/?api=1&query=Made%20%26%20Jimmy%E2%80%99s%20Beach%20Bar&query_place_id=ChIJkR2ZwLxG0i0RLCS5hrvcTDg"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFWqDslhGnON7V0NcWxr6bzMJFPnE6XuiqhBjD1K_rQyLsh7WFsWlk0Ry6K3vk13HxN4AZApTa3I1s14oCguZ-nNKO1e4VV8qwwurLJ5kJYDjPbiX_c3akLwyIUW-SMEsxaZ4nf6pIUM273=w408-h306-k-no","Join Brother Sport Bar Jimbaran beach","5","1","Jl. Pasir Putih No.25","Bali","Bali","ID",,"+62 813-3086-1500","Sports bar","https://www.google.com/maps/search/?api=1&query=Join%20Brother%20Sport%20Bar%20Jimbaran%20beach&query_place_id=ChIJ21C7VDRF0i0RbLPaTkozJVg"
