"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEw33VFseChqRcDDaSHvk3wLmevU3IX2rZd9-2wjkPCa5TrTm4PwgzuDh1rKWyfzSX0nfrm1poO4tbPSNKJmwErFvpvTU-Fc2BOl4ROnVeLv-0x8cVz538_L2kFWY7WophWC9qPoVQIAbs=w408-h306-k-no","น้ำท่อม โคตรร่อย😅","5","1","32 เทียนทะเล","Bang Khun Thian","Bangkok","TH",,"+66 92 370 2755","Night club","https://www.google.com/maps/search/?api=1&query=%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%A1%20%E0%B9%82%E0%B8%84%E0%B8%95%E0%B8%A3%E0%B8%A3%E0%B9%88%E0%B8%AD%E0%B8%A2%F0%9F%98%85&query_place_id=ChIJM7OvEwC74jARiCGRq8uIaXk"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhIrJO358VLQjlYVwJ_rv2ztBhIzQInL8C1wq3E0Qrvi0TEEw4KnJTUktdIMlc4kQBLPwZTPECC7MB55aZ3Vqw_ofpgfOgurfxWa6QtJmoZtCdxGl1CgW2JWRsceklbZb62JXhf8JU4xzy=w408-h306-k-no","Seayou bar&craft","4.8","75","Pracha Uthit Rd","Thung Khru","Bangkok","TH",,"+66 99 782 5353","Live music bar","https://www.google.com/maps/search/?api=1&query=Seayou%20bar%26craft&query_place_id=ChIJDXGZvNuj4jARPhVFUm8CKRU"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQdpvYTFy90mfap1o8LuPecRJ9u4LIexLz8aHv5SAw-r_78FBolY9Cv_11s_ZK_t3pRz-DrSyi4Wt5ILAN4Kg2nL-gKnrlUIxyoyGKyAr6UECwqAIOLjhtMkJjYcfKow-jr86iPX_RpHm5=w408-h271-k-no","Lucy Club Bangkok","4.7","1895","88 Soi Sukhumvit 3","Watthana","Bangkok","TH","https://linktr.ee/lucyclubbangkok","+66 64 797 1555","Night club","https://www.google.com/maps/search/?api=1&query=Lucy%20Club%20Bangkok&query_place_id=ChIJF-Ey8Muf4jARqJPIcULTlsc"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL2MRbwlYEfDYruEm6EXtdDQzS_CZ0oET-xCHLA8czZbWYRwwZV6CwMKjyj0MwiDtGUXHpwESQWKjL2htqvUMz-t1u1uLJTdwAH_pVyTiRhnP4lzjJRQ0mJYbfBVTJdabND9tuZq2xorBp=w426-h240-k-no","Blackout","5","9","Pracha Uthit 131 Alley","Thung Khru","Bangkok","TH",,"+66 81 614 6308","Bar","https://www.google.com/maps/search/?api=1&query=Blackout&query_place_id=ChIJ6QttRgCj4jARfDAUFKbujoc"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMCn12067bV0BVr6rhwGrP0RbSQJBz5FlKpQzgg7nNxS-oo60L6MWv2ipFQHzVyjl1YSN1SEgj9PwrrL6-OSwB7nWEXvWfKhCf4iTJotQwnfSRN8o5hmkhEFbDy8p8SzseGqzX1ltLbJ67=w426-h240-k-no","Green Room Bangkok","4.7","310","131, 29 Sukhumvit Rd","Watthana","Bangkok","TH","http://www.greenroombangkok.com/","+66 80 993 2299","Bar","https://www.google.com/maps/search/?api=1&query=Green%20Room%20Bangkok&query_place_id=ChIJf7M4x2Of4jARtqhwf1j4jg8"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcQEsDob99BMEN9U8WalWQbScOUlOwpnkBDSqzGf4kPVPt_HaIZFV7nM5COszCofdbEH3snt0oqLjj_Cvm9eGslUH6UFFGrdAdsoWSP11IcfBDhHOy7W4r4pFN_1QJNoRve8DnZw=w427-h240-k-no","Bangkok Nightlife","4.6","328","Sukhumvit 11 Aly","Watthana","Bangkok","TH","https://bangkoknightlife.com/the-pimp-bangkok/","+66 87 360 3666","Disco club","https://www.google.com/maps/search/?api=1&query=Bangkok%20Nightlife&query_place_id=ChIJdyCUg-ae4jARHMZLrL7TDvY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9GsUnqfpjxLxLhtWgPMgUF7wBiMDB3I0LUmuBx3V76BI2GJpAoyc4kVnyn2BeM59qma2bFUAgKCOq2kcngikUn2CLnLFFZqSfW4a9NUewSkG3OfqSW3Y90UQAfz7it9qTTae41A=w408-h305-k-no","aftersun - Listening bar","4.9","136","80,82 ซ.กาญจนาภิเษก 6","Bang Bon","Bangkok","TH","http://www.facebook.com/profile.php?id=61553631325050","+66 83 819 2299","Bar","https://www.google.com/maps/search/?api=1&query=aftersun%20-%20Listening%20bar&query_place_id=ChIJgeFQEgC94jARDvenfKXfDVU"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqT27K4QBi75SK_XDT-XR0T2ZJ9UT2wllij5GyK57XoIMscABHt6-uaMeOW9uX8DNGd338Um9A2J81cfPMSMCsAbuDGT9eXa6TNAZrZTTkjTSqcDMu2ampUol9Cy-oybCkgjzKLqHJQWE5=w408-h271-k-no","Into The Moon Café & Bar","4.8","59","53/50, ม Phet Kasem 81 Rd","Nong Khaem","Bangkok","TH",,"+66 93 171 6188","Bar","https://www.google.com/maps/search/?api=1&query=Into%20The%20Moon%20Caf%C3%A9%20%26%20Bar&query_place_id=ChIJMbVoxACV4jARADLsc9bXJ2M"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvjIcVFODPsjqo_h9JzPCW312IA_7gDKgON7ui8SBjeFjxoBOeHdWffsuCvJlrDaAxqmSzR7F_qS1DtXCxGkiu0gvTwDfqFatpZ-ROHHEjSkxVrIGNL1wSxumjj5m_V-fsQkF4=w408-h271-k-no","The Grandma Secret Bar","4.7","40","16, 18 Phet Kasem Alley","Nong Khaem","Bangkok","TH",,"+66 82 349 7312","Bar","https://www.google.com/maps/search/?api=1&query=The%20Grandma%20Secret%20Bar&query_place_id=ChIJ_UBz0Nu94jARZI8Y1C3NF9o"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhuWswfecV1MSeyK-3ghsYUp6WOo_ha8KjH9iL_Vtf1ZBih07TCa-upPjTxpQ9WGYF_jnHcL1iSXbYY7erkgZ81uyqenS8LxgPx3fPjTpWk-Rea-vXZQl56tozZnA6FzDIfBr4u-GZZy8=w408-h544-k-no","Hang Bangbon cafe&bar","5","112","Rom Sai Alley","Bang Khae","Bangkok","TH","https://www.facebook.com/share/1DgXs5TTfv/?mibextid=wwXIfr","+66 61 689 6193","Bar","https://www.google.com/maps/search/?api=1&query=Hang%20Bangbon%20cafe%26bar&query_place_id=ChIJCy6LTwC94jARwHpRHMuwUIY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGKDI8Nv4Vq9n_SmdqQZS2pctLqiOxC4ZR0b_MF_HZnsMw5rreeFHVkSMBq-qB6etQpkVQr5QYeeH8LqRqtQSbZJGpWzWCfJS_vtrugvyrbUGsp1LmNRqMbdBc88iBPeBX3kftS=w408-h306-k-no","Brewave","4.9","6394","1291 Kanchanaphisek Rd","Bang Khae","Bangkok","TH","https://www.facebook.com/Brewave?mibextid=LQQJ4d","+66 95 582 2147","Beer hall","https://www.google.com/maps/search/?api=1&query=Brewave&query_place_id=ChIJa9h0n8-X4jARhSD1VHLfv_o"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsGVtGfpzcJQqya5p7rFOWAAHZOSOv1h53mt4YxU_ofQxJQITb596zlJdbo5R5ZMc_wmSCQnYq8mf883Cp_xUmywAVUyfiAGalPeH0WC0eGhJoBgFeoaL58FYU-y0TtFz_CbvHajTp0Dvh=w408-h306-k-no","Brewave the Mall บางแค","5","40","275 หมู่ 1 Phet Kasem Rd","Phasi Charoen","Bangkok","TH","http://brewave.beer/map/?openExternalBrowser=1","","Bar","https://www.google.com/maps/search/?api=1&query=Brewave%20the%20Mall%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%84&query_place_id=ChIJuZVaXwCX4jARN9QWIA-vwgs"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpJQJoHW_uQ9JLcZZdvOC2QXyPB5TZhbAtEQg3Zz1hA0bLPwYEvQ1rDVwcmO-IEQFyaEzpxe88zZqafzPMET0c9eiKlER8DcnzKuA5f3vUwh-KEgVvSle2cEorasULL6u-cIEFD_4UmVFy=w408-h271-k-no","SIGA.BAR","5","12","ถนน พุทธมณฑลสาย 1","Phasi Charoen","Bangkok","TH",,"+66 93 284 8581","Bar","https://www.google.com/maps/search/?api=1&query=SIGA.BAR&query_place_id=ChIJm47iJdWX4jARJdvcviTg_18"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHMt1FWdugBLsbs-ZPQgdKQcV_ZrokKwF9M4-WUfpx6Gfc1Fmo6FSMKMpXCHT0_5VRzH8Ip8X2oc9dqAA4_0XefDm_doCQnO25J9QtpfyIr1azc1jWzSN4RfQ57EwGMSGH9ZfZDg=w426-h240-k-no","ระ-บาย Bar&Bistro","4.9","38","โครงการเจ้าสัว 69 ถ. บางบอน 3","Bang Khae","Bangkok","TH","https://www.facebook.com/profile.php?id=100057435880042&mibextid=LQQJ4d","+66 90 953 6262","Bar","https://www.google.com/maps/search/?api=1&query=%E0%B8%A3%E0%B8%B0-%E0%B8%9A%E0%B8%B2%E0%B8%A2%20Bar%26Bistro&query_place_id=ChIJ4zsTGdW94jARRAZQEKRsPtY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUtPxoGgJGqzXem5_1zrQKHA_VHWn-Y93ZXw1F_tF09l-efrR164GKiYBXugJGCbNSx3u119wgdpUltjstgKuQvFgbk3OjiqMDnpDRHkqYQ9Z8UNGxKOfPhuJ7-nitiYiiDZFE=w408-h284-k-no","เลอทอง เลอท่ง Le Temps","4.5","110",,"Bang Khae","Bangkok","TH",,"+66 2 043 2288","Bar","https://www.google.com/maps/search/?api=1&query=%E0%B9%80%E0%B8%A5%E0%B8%AD%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B9%80%E0%B8%A5%E0%B8%AD%E0%B8%97%E0%B9%88%E0%B8%87%20Le%20Temps&query_place_id=ChIJk-51b9iX4jAR9CBNvxnAMAU"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHq7p87u9AzdrTKmL6Dx6MmkwxPUMxKzvPw8L3bmUPWH0JBqKifWdI5CBPYs2V0B0Pu6lQW6e7ia6Ryks_P2mQ_UYhBuX4TCjivsdqLGVOIwke6RZ54nk7BRosWPgJ7CbYe-Yc=w408-h544-k-no","D.L BBQ大佬烧烤(บาบีคิวจีน)","4.7","11","17, 16 Kanlapaphruek Rd","Bang Khae","Bangkok","TH",,"+66 99 212 6888","Bar","https://www.google.com/maps/search/?api=1&query=D.L%20BBQ%E5%A4%A7%E4%BD%AC%E7%83%A7%E7%83%A4(%E0%B8%9A%E0%B8%B2%E0%B8%9A%E0%B8%B5%E0%B8%84%E0%B8%B4%E0%B8%A7%E0%B8%88%E0%B8%B5%E0%B8%99)&query_place_id=ChIJvUlaewCZ4jARswZytLV5PYE"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW5G8t7I-dB8nfV9CQT71Sc7geRcuFo7-QBbv1Eb8UyVLeZZN2e-wGN6_W8ez7QyR-EtFctKnn7mvwik7xqU4RyBgJp8_yoPuGzzKNyJBm1MY4kHu1uDJ0Y1CBPEIXSH5OMgQSWD-NZfmE=w408-h725-k-no","รัณย์ restaurant & bar","5","11","In The rich plaza, 872 11-13","Bang Bon","Bangkok","TH",,"+66 82 488 2547","Bar","https://www.google.com/maps/search/?api=1&query=%E0%B8%A3%E0%B8%B1%E0%B8%93%E0%B8%A2%E0%B9%8C%20restaurant%20%26%20bar&query_place_id=ChIJr9QtPAC94jARuGSAafhBO5g"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyr_y9fgFS1N855IuEnOV5KS6MXUaUmcZJkcm3tVVRanpVbnZ0zZICUjDjet0AU8vylW3f7JVaiPRTUAC2yhdG6ACEB7phXHqZiGvfp5QBiYAvzoHgwnoOJKsuxXzwJEdOOI5A=w426-h240-k-no","The Bar Garden","5","1","999 Phet Kasem 47 Alley","Bang Khae","Bangkok","TH",,"","Bar","https://www.google.com/maps/search/?api=1&query=The%20Bar%20Garden&query_place_id=ChIJZ0wKEvCV4jARAdkIpPg32uw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4v2QB_OuO5Zz8VLl8Nur7QQJfzRcGFXPKuu597t0mp_2cwrbralbHmvKaZlJ9QKLch3eaE37Dq0gRdvGaTlLK7SniLySl-hTRs7EF87dM0Ed3eTHJaAtKjsAq9-0c-kBf5L2D=w408-h306-k-no","Tavana Bangkok","5","7","81 2 Soi Khlong Nong Yai","Bang Khae","Bangkok","TH",,"+66 94 978 7000","Restaurant","https://www.google.com/maps/search/?api=1&query=Tavana%20Bangkok&query_place_id=ChIJFXhGxQC94jARFEAms4_iTbQ"
,"61Bar&Restaur","4.5","2","MC5C+984, Rama II Soi 61","Bang Khun Thian","Bangkok","TH",,"+66 94 990 6800","Bar","https://www.google.com/maps/search/?api=1&query=61Bar%26Restaur&query_place_id=ChIJAzNe9RK94jARGvV-PumJKY0"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHs6uB8EnMy7JC6uiWriesA48YmQWA1ZeInNK5OP-I2AP4ofvkHkPSupkHXMrMfdeSyj8icjUPXJteEfbUYA-9kxBULiOnEeCQcJ8ZioPUxbjoZ_3-mhE0EQKGopu0LcLfaMlFNwjoFhsA=w408-h306-k-no","ร้านสบายสบาย","5","5","Thái Lan, 36 Soi Ekkachai 131","Bang Bon","Bangkok","TH",,"+66 64 831 4768","Bar","https://www.google.com/maps/search/?api=1&query=%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2%E0%B8%AA%E0%B8%9A%E0%B8%B2%E0%B8%A2&query_place_id=ChIJy-EnEwC94jAR9ezTn6k9CxE"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeAFZbBntLPl0HsaxxYoSDJd1SiH19lOlxg5xar_XiOy4_tiX4d0u28Gul88EVOoZrNvKAQbT7-eBzvLUyjwQND029iIyyDa9j2AXtCmrcDMi-Ok16z-ppJ2CVxbO7kLS9AGxCEGi6jBE=w408-h326-k-no","HDT- Hidden track","5","205","Kanlapaphruek Rd","Chom Thong","Bangkok","TH","https://www.instagram.com/hdt_bkk?igsh=ajExNDU1eDBsemV4","+66 61 908 5138","Bar","https://www.google.com/maps/search/?api=1&query=HDT-%20Hidden%20track&query_place_id=ChIJgbM7XgCZ4jARYBezr5SKHV4"
