"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6gcHgoKYGRCXwVHSYUwu90sJfr0_tQFa_ff0m3DMlPEHOjRETnqzEZv7N_YD0m-WoE9meqos7aSYTzXEFsumiAHqt_DvmREqCa-bNDEMGGtKMTehoKjAv9JWthd9B0EC1lm2i=w408-h618-k-no","Tequilawer","4.8","5","C. Los Alcatraces 02","Cancún","Quintana Roo","MX",,"","Lounge bar","https://www.google.com/maps/search/?api=1&query=Tequilawer&query_place_id=ChIJT_gHdi4tTI8RileA8f_JdFA"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2mK59MITr5K-5CuDPufoSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=335.78152&pitch=0&thumbfov=100","Olimpo bar","4.4","14","SM 100, Secc. 0872","Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=Olimpo%20bar&query_place_id=ChIJlRs6vQUrTI8R1JLAProEUlw"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=czJUz6mzhFSC-uakJEx8uA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=106.33389&pitch=0&thumbfov=100","Six In","4.5","2","77535, C. 44 19","Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=Six%20In&query_place_id=ChIJgXI7RRMrTI8Ra0uskYsp7Wk"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoWoOOKNdDriPERC6VuE2t7KJbDQUU1rUUIKvch_CEvtA5bPgwIHqZie77Dkf2Qj64xJb5bNb9a0vpbdfGiJ4SsVrZxsSa3VDZSM-TyM8IRIWqrwdxUOHipL9YGzNhQHXEEzg=w408-h306-k-no","The Sugar D","3.8","32","SM 510, Cecilio Chi","Cancún","Quintana Roo","MX",,"+52 998 256 3552","Bar","https://www.google.com/maps/search/?api=1&query=The%20Sugar%20D&query_place_id=ChIJufVXsgkrTI8RA18zAusOVtI"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gbG6PZLDIrui2lqb-BcmNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.9162&pitch=0&thumbfov=100","Sound Line","5","5","Av. Rio niagara. Privada, C. P.º de Salamanca LT 12, Gran Santa Fe 3","Cancún","Quintana Roo","MX","https://www.soundline.com.mx/","+52 998 810 4814","Disco club","https://www.google.com/maps/search/?api=1&query=Sound%20Line&query_place_id=ChIJ305QxeIrTI8R1ctYXY_mzZQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAExUpxbhJDX87ElwWXcVqq-m66BMYVqP4SbNN9Oou5b80lX__2hXsLQv7VtrYJQGTI3Kh96eWFWNIiY7tmg-ZliBvx4mBVbT8oeEIueCmZdLpIPv_232HA250j_Jge2REF32omr0B3-nd4E=w426-h240-k-no","La Hija de Cuauhtemoc","4.2","2368","Av. Cancún 6-Loc 4,5","Cancún","Quintana Roo","MX",,"+52 998 475 6336","Bar & grill","https://www.google.com/maps/search/?api=1&query=La%20Hija%20de%20Cuauhtemoc&query_place_id=ChIJs8J7-AorTI8Ri-jUJBv4Qt4"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLp5jYqC7hlbYugn8Vlv8yAu5jdLHqw3yMssF8SDV_NAp1LR5wrtVw3XAnWUCLqcqV06iBakxg0ueX8CrPqK8nwpWeQU_6M8XV6V2Zvbcd_v_q0wxT5ZkQ2DYIYbXGVE6ZwjRSFN9DF_d0=w408-h306-k-no","El Bicho Huayacán","4.6","16","Stripp Mall Arbolada, Av Huayacán LT Arbolada","Cancún","Quintana Roo","MX",,"+52 998 389 2728","Bar","https://www.google.com/maps/search/?api=1&query=El%20Bicho%20Huayac%C3%A1n&query_place_id=ChIJ44FULQArTI8RPAVyMron_7U"
"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j-6ndkH_uamujbGqpcCSQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.76927&pitch=0&thumbfov=100","Lalc","5","1","Av. Isla Aruba SM 249 MZ 537 L1","Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=Lalc&query_place_id=ChIJ9YiREgDTTY8RWzLSRUFSGiw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8jG-ZvRS71aXR4ScmKi8pibvsiUeO9JZLE1rAAJ3UcuWDi0HXvpz1KVURdcZJjxEpklH0sSdM0Tr1ez1gojg-LClLn5-OHRXQqLZFEmiY4YF0_SRiJX3JyUOs34S02HIG044GNyXHrIs=w408-h544-k-no","Michetanque Cancún Andalucía/Micheladas y Ceviches","4.5","182","Av. Las Torres Calle Andalucía Fracc-Casa 1, entre calle Río Bravo y Río Conchos","Cancún","Quintana Roo","MX",,"+52 998 481 7896","Bar","https://www.google.com/maps/search/?api=1&query=Michetanque%20Canc%C3%BAn%20Andaluc%C3%ADa%2FMicheladas%20y%20Ceviches&query_place_id=ChIJMwD8pk4rTI8R4ZH8Tai1frs"
,"La ballena","4.8","4",,"Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=La%20ballena&query_place_id=ChIJEaclQwDVTY8R7NbODgsrovM"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6BC2OM1YVWLhUCilkgstw7Y7mq5bzT8oFWxh0Egwh1zd5BfgQxOP1E7qictom1_bEah_vzKpcvKucJ2o1Tk2EQSn915xM4W7owpOAQF_CeFEcTIoJvDoXPfUgs4vaUq3_21xm=w408-h725-k-no","SIx EL ZORRO PLATEADO","4.3","25","Av. 127 SM 101 MZA 6 LTE 5","Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=SIx%20EL%20ZORRO%20PLATEADO&query_place_id=ChIJERqHymMrTI8RdfXSsl7opLQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEfyycl9aPvjNddlnxu6_j3Ls1tYpw2e-rIhFeklulnYifM6Wy5WfucqEiW1DrFT-EYsQYBN_goGfJreRTlpRL0hiyCk7eOSJwPn5DrQ-RcLkcF9kjS7D3gLIMJaRz_x6uGkqRb9nCcZ_6=w408-h408-k-no","Elotealo","5","1","Calle 129 Nte 101","Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=Elotealo&query_place_id=ChIJA8EcQwArTI8RVlntvQkcYzw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsp-gcRHqb_1i-L7zEZPHkVdrTmLcLpd4aArJJEq3zU7P1Ne3OHejxZneTsUTgIupUMPASTwwy7s049iqzbePg0Y5Jtamzvjamxly50vxP6htTn6orYdfghGF9gKvEqgNzGmV6=w408-h398-k-no","Cancun Miches Los heroes","5","1","Av Arco Nte 251","Cancún","Quintana Roo","MX",,"","Bar","https://www.google.com/maps/search/?api=1&query=Cancun%20Miches%20Los%20heroes&query_place_id=ChIJh6MnqdMtTI8RvYRbrbh6jTE"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFimpxofQwi44w-uO_bv8h98JErFgsLqx0noT42cVI_qmcDKI82Mp9PW12yeM4xQN6W3P5S_hORqFbRvZDQg6OOknAWOA5iT0vtOVItk116-RL4Ep6POPnlY4mrciovmDm7PdXSfQ=w408-h544-k-no","COCKTELERA LEOS","4.1","320","Av. José López Portillo SM 103 MZ 12 LT 6, Bernardo Cobos Díaz","Cancún","Quintana Roo","MX",,"+52 916 746 0774","Cocktail bar","https://www.google.com/maps/search/?api=1&query=COCKTELERA%20LEOS&query_place_id=ChIJ5WJ6pEMrTI8RrEvUdrlpCQw"
