"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE93GrHLB-nhRB6NrXmZvqRA520VesjLFID9jgG0mcwFvQ4ByTw0_-XTiV3TZpmYk4V9lMdvJIctSErw-3u0tORtCsZK5HOFsOJv6A90KWxpXmKMoGJ_baExn8z_RVY7jnmSK3n=w426-h240-k-no","Acqua Lounge by Ecoboo","5","5","FGQQ+C8P","Thinadhoo",,"MV","http://www.ecoboomaldives.com/","","Bar","https://www.google.com/maps/search/?api=1&query=Acqua%20Lounge%20by%20Ecoboo&query_place_id=ChIJYTL338apODsRebtcUOaJA8E"
,"Fen Pool and Bar",,,"FGQQ+59M","Thinadhoo",,"MV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Fen%20Pool%20and%20Bar&query_place_id=ChIJI5H5YwCpODsRGlzXXDbwAdQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnQqNvfu8tzVKeX-STkIZc48u9caUeSx1w9qDwerQyvkLkayqulvLJEyIN5ZNCZpTiJJHyFzt78VV-3zsmx0W7VF5NrN4hV037GUdzdq7kC7oPoo_mukwEYWGnlVMsxcyYlYz2lQ=w408-h306-k-no","Fen Bar","4.4","18","FGXH+8WG","Thinadhoo",,"MV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Fen%20Bar&query_place_id=ChIJgWS8IQCpODsRjfosNUWDCzY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-EPN6rqieWUP7-Ek6Vmf4QGbwYH97yj_yRP_4P_QYy3tqxAA-IhDafO8DoyB_AoLfN7ZDz6cj0poISJjG6PFt8gnNUzaS3lFb-_wRbV3-0GxzgivHtfWmJI76HOHgGFcAuSM=w408-h306-k-no","Hama Bar","5","1","FGXG+GQ","Thinadhoo",,"MV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Hama%20Bar&query_place_id=ChIJ1TpKfgCpODsRidJDF9m7afE"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOBH_kmEyexbCxCF8AAbE0O1ZE4qyai5LaIlJeQnaxZ0fdWN9Ii6isQ9R8Mb3Fa15ACVc8ScrS4L5IQClyoQLm0aF3fQ2ZmqXrz4nuoDBMmMnL-Pl0_GrKS4rpvEMlX6lXanKX=w408-h306-k-no","Iru Kitchen & Bar","4.7","7","FGXH+FVP","Thinadhoo",,"MV",,"","Bar & grill","https://www.google.com/maps/search/?api=1&query=Iru%20Kitchen%20%26%20Bar&query_place_id=ChIJqRZwfuepODsRYGUNEElYi7U"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHw_cmFVnD10TipQTp8rp_kK6eUT2ylqgKdXsuo1IR9dmZofTnG8G_ll2T5x0SvxK-BDhXkIS4PI1D33PLFFvU4vgDKYXDVNwAl9LxUVniGgiInkQIH4ihweDn_Er7-EhJKEFZn=w648-h240-k-no","Ollo House","4.7","192","H. Feyrugadhoshuge","Malé",,"MV","https://ollohouse.mv/","+960 799-8192","Lounge bar","https://www.google.com/maps/search/?api=1&query=Ollo%20House&query_place_id=ChIJ0W6zFzx_PzsRXFzoh94nzdQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXdkXz7GockbVnuzl0lAIEHJmiok_sXxJOkXrxFJ6I7qek4xw2slXo2Nvfm3DWOWp2TyfhAaSeWNB-Js2O7szwnNmJSR_JAw4x6wP_mHcpM5hiQDepDZiNnCrmBKI7YlW3R0LH=w408-h306-k-no","LUX* Lounge","4.8","117","Noovilu Seaplane Terminal, Air Traffic Services Building, Airport Main Rd","Malé",,"MV",,"+960 730-3621","Lounge bar","https://www.google.com/maps/search/?api=1&query=LUX*%20Lounge&query_place_id=ChIJd6DfyK5_PzsR3s8rxqraZxg"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAERZfdZER0Jcav49dGCnaFyiooEI2UVub2Ijup6gfqo_-RAvOIpAfFQ620sg7cjULuTb4qYBDGoqPnWHXG5iAgaCI2861WfIRL2iPy-jA8rd97qsPwtUJIvZpT-_SWVYcQ0xeeu3VN0t2Ab=w408-h544-k-no","The Insanity Maldives","4.2","19","4FF8+826","Malé",,"MV",,"+960 797-8079","Night club","https://www.google.com/maps/search/?api=1&query=The%20Insanity%20Maldives&query_place_id=ChIJoaCYdACDQDsRPHbTDpzesFk"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQgp_BGkdx5gXWoS-bURCt5PO-cfs0NDr278BkcIGja2Phm7bGTxgCov4gUr4tI0NXOm8aLWsroP4Jn5uJBTphy6aOSIIfor9VZ07tYlsPHxfgYf4Qah12rdVmEvgOYKdt_Hu42Q=w408-h306-k-no","W Maldives Lounge","4.5","60","Hulhule Island",,,"MV",,"","Lounge bar","https://www.google.com/maps/search/?api=1&query=W%20Maldives%20Lounge&query_place_id=ChIJ8aYaKY1_PzsR0gLKym-D1Zo"
,"Party in da Hood","5","4","Galolhu K","Malé",,"MV","https://partyindahood.wixsite.com/home","","Bar","https://www.google.com/maps/search/?api=1&query=Party%20in%20da%20Hood&query_place_id=ChIJpwWDuFV-PzsRPln8bX7TPMY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmITPb4Fuqxndgz37diH4yknkZI78gyiEow6Qxt7ON2Zrpxc5ZcEMt3sa10lgvA1NRMGzGL8P0Czq6l3yD7heXg1QZtCr6ovIgSVPlrHki98c8lpvwRQlBCuOOg3_Nb7lWG3Rw9Q=w408-h544-k-no","Ooredoo Club Premier Lounge","4.7","212","Boduthakurufaanu Magu","Malé",,"MV","http://www.ooredoo.mv/","+960 961-3929","Lounge bar","https://www.google.com/maps/search/?api=1&query=Ooredoo%20Club%20Premier%20Lounge&query_place_id=ChIJf1kofv5-PzsRTXaP83rKL6Q"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxwalPQOQzk2HeDAwZtofPswva2zIcu5q9KcHtTszwuLiCO5816O1PjDuM_Al4eP1hiBkuacLPe5Ge3eyaqaXKxFb_rdrr9P3M40VG9q-zONbX__aKHC0jf7IuxlWeiUpVmTc2ZMbbK5V0=w426-h240-k-no","MACL Business Lounge","4.9","178","Airport Main Rd","Hulhule",,"MV",,"+960 333-1773","Lounge bar","https://www.google.com/maps/search/?api=1&query=MACL%20Business%20Lounge&query_place_id=ChIJIUy2eXd_PzsRvMnOGMrE0Ec"
