"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFvYnVkCUQ9S6v0K7TiD9FilP8U4swPh8ERxRclluPhPgpTNlka5XETaBaykCabjH_yyvCw1n3fo2QjqvOIW18kkkprawD2X1lx-dqBCHEO7xyDdNT6GhSEFx9pbwXxR9VzL_-bKmzC7Q4=w408-h306-k-no","Gramps Getaway","4.1","506","3301 Rickenbacker Cswy","Key Biscayne","Florida","US","https://www.sevenrooms.com/explore/grampsgetaway/reservations/create/search/","(305) 465-2482","Bar","https://www.google.com/maps/search/?api=1&query=Gramps%20Getaway&query_place_id=ChIJsYvVSwC12YgRJs42Bov2D60"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJllgUnUW1xY_OPDgZMSu0nlPAU5LYvMFldLJoOIHW5onezAGYkZBS_7KbwY1ZmeupY7iTFY6_yqHhKPuXXbB7rhurs6BN4ERq7a847Smg7xxxqY_j0Z1qWk1_KokgCSRvhOoW=w408-h246-k-no","Rosa Sky","4.7","6635","115 SW 8th St 22nd Floor","Miami","Florida","US","https://rosaskyrooftop.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","(786) 628-1515","Cocktail bar","https://www.google.com/maps/search/?api=1&query=Rosa%20Sky&query_place_id=ChIJpwznMWi32YgRs_iFE7Vok3Y"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFyPQTISvvmJ3MGQ3m3FZ8rqrWjBIO3u0Nd5ZHI13BSi0-eteti7SJW_wXEyBYwmM7SG-dIelGN015iIB_VDHiNf5hPFfnhxR38CYEJEVAgNk_PNUfqlHUCEgg_QiLdLZSKTsc=w408-h306-k-no","Blue Martini","4.1","1847","900 S Miami Ave #250","Miami","Florida","US","http://www.bluemartini.com/","(305) 981-2583","Lounge bar","https://www.google.com/maps/search/?api=1&query=Blue%20Martini&query_place_id=ChIJ6z3keYS22YgRmLTJPkU3fyY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhhScPPsxWKsNSESNDFqBBT4KN6nSFuSft6RFh8pjjYDzfCc6wiWzWK3vPrmndr2um4uC3RnNB4FMY1TE34JiDSepUgOrmYvojD7Jlzy3nuXPHWbncI4l9LQ1H2k7olRuybgg=w426-h240-k-no","Blackbird Ordinary","4.2","2641","729 SW 1st Ave","Miami","Florida","US","https://blackbirdordinary.store/","(305) 671-3307","Bar","https://www.google.com/maps/search/?api=1&query=Blackbird%20Ordinary&query_place_id=ChIJsRbg74S22YgRi0Phf5bJduk"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDTyV2QlONrV0ycxQ-zcNK5VhCVDuP_sEveIkbQbGEqporO0jwAdz7MfZk3P17H7Qb8CAzLx3pzcjFsfGe8k3esmcGVMiEqTGRE4FnhV70j_Y83noYBBQAlSJBzf8NCVmWDhb2Fw=w408-h271-k-no","BLUME Nightclub","3.8","93","1421 S Miami Ave","Miami","Florida","US","http://www.blumenightclub.com/","(305) 577-9811","Bar","https://www.google.com/maps/search/?api=1&query=BLUME%20Nightclub&query_place_id=ChIJW12n1Ia22YgRLoGJC5RZI3c"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6CWJCRCqp70zNdknyzXCOEZsf8p4db22F0WCny0C-7j5M4bVVFSr4BurQko47p4cnoQik3GwZwIwzTABHZ7KivtBGTuRUJVUhf3NrPGr_SHUz7TKU5Ky1fIcwdcXegzWWP9ZwqK0Ic2k=w408-h306-k-no","The Lounge at SLS Brickell","4.7","108","1300 S Miami Ave","Miami","Florida","US","https://book.ennismore.com/nightlife/saam/brickell?utm_source=google-gmb&utm_medium=organic&utm_campaign=gmb","(305) 859-0200","Lounge bar","https://www.google.com/maps/search/?api=1&query=The%20Lounge%20at%20SLS%20Brickell&query_place_id=ChIJnfRx-hG32YgRS6HBiedZTB8"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrLiGUxO_29WvypXa6ZGdZJDmNyzfgcxWTo_bEm1SznBL7zgUo8L6QMNf8tDHAuAC_eSOnuy6UP14PESIGhHICQ5orTNmT5Ol1HmYzFDhLyRTApOjGhcw3ZnJuF6f4g192JEiFAQkJ5kRX=w426-h240-k-no","RedBar Brickell","4.3","639","52 SW 10th St","Miami","Florida","US","https://www.redbarbrickell.com/","(786) 316-0302","Bar","https://www.google.com/maps/search/?api=1&query=RedBar%20Brickell&query_place_id=ChIJlwXLFIS22YgRn-dgC8QC2us"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjcIqNMCHv-DKJEF7vuu3k1245pCiO6nHeXFEVBxHYzlJ86AfuA1upDxYNIL9TDSw62NYHplFOPFwo3u88ZE_ljA5fUW9823P-IIrsz2K1pNok9r-ahVFCPWfgduE2_9FxSuBl=w408-h271-k-no","Tipsy Flamingo Cocktail Bar","4.6","446","40 NE 1st Ave #101","Miami","Florida","US","http://tipsyflamingomiami.com/","(305) 646-9967","Cocktail bar","https://www.google.com/maps/search/?api=1&query=Tipsy%20Flamingo%20Cocktail%20Bar&query_place_id=ChIJWS7XHq-32YgRjTlkBPz9xgc"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgLULsf7iyUNUf9WKPs-Q2GSU_obnSqNR3mm5pdCo4nDj_-hR6DLYKHGYKlyiB3EngGoMNoPmZj8cbCFombRGakvdyKZsE97gcBu2w9PuX1FK6XBToW9SAAxTRR2DtVy378JnCAmcqTd8=w426-h240-k-no","Séptimo","4.8","6","1435 Brickell Ave","Miami","Florida","US","https://www.fourseasons.com/miami/dining/restaurants/septimo/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-mfl-fab-mid-seo-na&utm_content=na-na&utm_term=na","(305) 358-3535","Lounge bar","https://www.google.com/maps/search/?api=1&query=S%C3%A9ptimo&query_place_id=ChIJN_5tMTe32YgR4ImLkoHfvi0"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsRxuBZGSlyGs3qlv8E-ZM6mSwlgM28wH4qBoJTTHhnrJL_7C3XPBle53dxypzb46MYZI9nZ04bNj3qhmshNnoSm0oLBB4bL9QvOl9aT8Naai1bmxrPUP7BzdhBXxfsWfEXWIQ=w426-h240-k-no","Empire Social Lounge (Brickell Location)","4.6","324","1106 S Miami Ave #202","Miami","Florida","US","https://www.empiresociallounge.com/brickell","(786) 622-2220","Bar","https://www.google.com/maps/search/?api=1&query=Empire%20Social%20Lounge%20(Brickell%20Location)&query_place_id=ChIJs5KV0SO32YgR5EfBM37G1TE"
