"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9xOmLpfEorEfc-69ihQT6I3O7-AKm2iUpPemrZJvNl4ptcOAb5be9fi7BR9YSKdinAA4W32ye67hLxd7tgw59t2v3YaMfe2TkZ6t4nYaLLJGi7oJAo_bQwkqB_EJsm5vNkunheg=w408-h306-k-no","Tropicana Beach Bar - Restaurant","4.4","3159","Paradise beach Post Box 506","Mykonos",,"GR","http://www.tropicanamykonos.com/","+30 695 539 4280","Bar","https://www.google.com/maps/search/?api=1&query=Tropicana%20Beach%20Bar%20-%20Restaurant&query_place_id=ChIJFSY0Wb6-ohQRwx-lDrmNhPM"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFrwLx79gV2G_isTAu9nspMqQvnBfg6vrCx-3c3Zls1OzTDeaj6EhHtBe4ekq7Xglmg9H60Lqnq8HhU7P4SenGJq1KUGZWg8xCEdlO9g74CSWzeYzm060amrYuJR6uVGFlZjgR3yg=w408-h272-k-no","Paradise Beach Club Mykonos","3.9","1006","C947+W3 Paradise Beach","Mykonos",,"GR","http://www.paradiseclubmykonos.com/","+30 2289 022852","Bar","https://www.google.com/maps/search/?api=1&query=Paradise%20Beach%20Club%20Mykonos&query_place_id=ChIJn6Wflay_ohQRVP0VIqpNGAM"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeqhcT_1NrG_BN_nLMsSCYIucNERZlcfJO6BbZwgJuxetqOQR6FYgtalpK7EItfGSQVNKI97eiAy4mD0v82OpSXqzG04hGe96fIzL1wk4DRFWf0DWt4_5aKETN2mUuXr-_IUJC2_vDWLPv=w519-h240-k-no","Pinky Beach Mykonos","4.3","478","Agia Anna Paraga","Mykonos",,"GR","http://www.pinky-beach.com/","+30 2289 028497","Restaurant","https://www.google.com/maps/search/?api=1&query=Pinky%20Beach%20Mykonos&query_place_id=ChIJNY4a68i-ohQRfbXIxgADd-M"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAElJsW2bjikNiLEd7y6t2x-TA4fde5zMTYicB2esWkOEkqlFWb5LdewuvvrKNHP1DT681iNba0E9RuhXjcxRYkUpd6il5OM_Jnr80x2iPSMQLi8pZ_uMW18_ECALmtoJeR2Upe_Dg=w408-h306-k-no","Kalua Beach Bar-Restaurant","4.2","1778","Paraga Beach Mykonos","Mykonos",,"GR","https://kalua.gr/","+30 2289 023397","Seafood restaurant","https://www.google.com/maps/search/?api=1&query=Kalua%20Beach%20Bar-Restaurant&query_place_id=ChIJbdaM0pC-ohQRw-Ej7LO-Qe0"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEMgX1_T3w6_k6MR_zTQ_icoM0Bxts2Wgr0_xECzjeIPCAmSNxx-YysY_GB1XLxwTll3kYi08weV0wVWamsu53W1wdw4CLKN_iBxHmIluyNXRfEC52jKhgOuQQDqf1Zd3xrsZRm=w408-h542-k-no","Sueno","4.3","55","Paraga Beach","Mykonos",,"GR","https://suenomykonos.com/","+30 2289 025364","Bar","https://www.google.com/maps/search/?api=1&query=Sueno&query_place_id=ChIJ9-Eshzy_ohQREQIMhmKkn7w"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGl_znB6L1HZ8SqhnexxH_806eFI02dzRmWllyKP3vESo4HZyK_evsNh3K3qUw7Aexrg6QFWW-I2yg-aqEqoasQ9WbQLOTAGNOifsbBVJRQmgKGpfvqSzSNkSVnWBUCmkDgQR4=w408-h306-k-no","Tasos Taverna","4.5","1114","Paraga Beach","Mykonos",,"GR",,"+30 2289 023002","Seafood restaurant","https://www.google.com/maps/search/?api=1&query=Tasos%20Taverna&query_place_id=ChIJoQz_15a-ohQRTsLYmEHXduQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLEu001URSv3yJhqACAM5Rh-TXDNNP-e1L7JoJQh24kzQ8U3P9aWsIjS1GN6J_ZlXXf8XIFYTHEawi8Cse_Ztpktw4jkVpfogIwTtG1rhadLmRUhSj1secQC03m0R3zefpUCveQQ=w408-h306-k-no","Monarch: Restaurant - Beach Club","4.3","13","Platis Yialos 84600, Hotel Lady Anna","Mykonos, Greece",,"GR","http://monarch.gr/","+30 2289 077504","Bar & grill","https://www.google.com/maps/search/?api=1&query=Monarch%3A%20Restaurant%20-%20Beach%20Club&query_place_id=ChIJQ7AeY-i4ohQRwBz0cW_PlSw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbGkcGHUEtiUm1NE7RZrD9hflilIs9PBNfYzpxl645K0-WIhfH7Z63wyJBZISh1UUR86maaWjx9rx2FGCz4Ipv8eV1xeXpGdU2mnvh-y-pU3GJPol6h6OudbVb6OpMWMO3GvMz_A=w408-h543-k-no","Delos Lounges & Bar","4.6","16","Mykonos Blu","Πλατύς Γιαλός",,"GR","http://www.mykonosblu.com/fine-dining/restaurants-bars.html#deloslounges","+30 2289 027900","Bar","https://www.google.com/maps/search/?api=1&query=Delos%20Lounges%20%26%20Bar&query_place_id=ChIJeWVaMBW_ohQRiC_xLa5-SbY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBn8lGItyR_Snqkjm8eHgDlgja6292_kMNr4V5O1p2oHhQ-_40NHui37Sx6wTFRP-2d3QRHqWxk6HiGWGhjoh2ney0JxJbz8UR_LVisEKuWIztiqhDMLwNHNHc1hgdicO3mprCGg=w408-h270-k-no","ASTRA","3.9","249","Tria Pigadia (Three Wells, Enoplon Dinameon St","Mykonos",,"GR",,"+30 698 244 0540","Night club","https://www.google.com/maps/search/?api=1&query=ASTRA&query_place_id=ChIJ_f___y-_ohQRWXjQfo7HSAE"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQuwNpDbMZmKdrkbzXqZXx_9BQWnlRTVHMaFnH4ak8G2f2MFHhJpdaxBxDJr6US44XqH_U5ZGGF2wEDPlMCG8uxX4I98LHmNJzTsqi_w_LPGfvzSiEvCkWpCb8m4P7oaHDesSwHw=w408-h306-k-no","JackieO’","4.4","1685",,"Mykonos",,"GR","http://www.jackieomykonos.com/","+30 697 301 0981","Gay bar","https://www.google.com/maps/search/?api=1&query=JackieO%E2%80%99&query_place_id=ChIJrVdHici-ohQR30YUUPx7IJo"
