"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFa2FkQdxxLwjcl7ZbijkHNwD-I3SHEnVStp9v8up3KZEKylSMWMNflSG5MaWYW7-tZ9H0B7dvhNn4MFjv5g3b-gU5XSZU63N3I_MBlJHeAC_b4Vnf_BPRLKzvf5__OWCfwIKiHrwQ06l0_=w408-h544-k-no","Good Vibes P-Town @Eden’s","4.8","96","64 Shopping Center, 9 Soi Phutorn","Mueang Phuket District","Phuket","TH","https://www.instagram.com/goodvibesptown_edens?igsh=M2M1ajloOHM3cGpt","+66 96 636 7576","Bar","https://www.google.com/maps/search/?api=1&query=Good%20Vibes%20P-Town%20%40Eden%E2%80%99s&query_place_id=ChIJCU5WP40xUDARwkBxuNhvMMM"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGSQwfNL3UUlWtOtsXjYn0nEgxnDB3zSovNQ7boKvZa6h8hlIW0KWcAMBwhpm5T2D_hMOoV3Zelre3RLZZkjvfGBDQcjlAapsyjY3rScyFm36d73RemTssFdRRjLg-daCYpKPFg=w408-h544-k-no","B POCHA","4.8","48","363 Yaowarad Rd","เมือง","Phuket","TH","https://instagram.com/bpocha.phuket?igshid=YmMyMTA2M2Y=","+66 84 063 6527","Bar","https://www.google.com/maps/search/?api=1&query=B%20POCHA&query_place_id=ChIJCwDhxJ0xUDARbzfU2ZC98sI"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFAI_f0QNTIwGzOUky1KRWn-seLcKjXBW1F_hp20O3mHbv2WqsWDerZ8szvCGwRGmEVK12ff9_Lg2FcUnErMermhwPB0mgWfZ8NX7O2lXiEKkeW5T4uUzSU3mzIDkegV1b4L2ERQ=w408-h271-k-no","Harem Club Phuket","4.9","3323","21/2-8 Soi Seadragon","Kathu District","Phuket","TH","https://suzywongs.com/harem.html","+66 94 574 3747","Night club","https://www.google.com/maps/search/?api=1&query=Harem%20Club%20Phuket&query_place_id=ChIJHwGNvLw6UDARonObMzvSBBI"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuMCV7ObkvqRWBmiwRoxSTcm9sYqyvAoZnos-isXCBcwqyLfDfNK4gcStVutH4TY_DG7c1IgxMozmCeV00wZeR0xHoI0ZHalN2WvIaGDBPRcnrZGiJFrE8LtXvOGQmYvl_Et5u=w408-h291-k-no","Barfunk Phuket","4.4","847","11 Bangla Rd","Kathu District","Phuket","TH","http://www.barfunkphuket.com/","+66 95 420 4497","Bar","https://www.google.com/maps/search/?api=1&query=Barfunk%20Phuket&query_place_id=ChIJB5Goq7w6UDARmzYxU3Q85l0"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjKCOOsI0CCzsKlO3Edn6cl3tBuAkJq_fXPXlB6i5kV9pICmSoyBO-8Dk7-nU97GydBp1V2BLQfUykOpx72mc-PQki3lhLAMCoj0ByWMKeOoZVxuRCYXzDkuFPpu0cmT4Tm_9i=w408-h249-k-no","Starz Rooftop Bar & Restaurant","4.8","576","206, 2 Karon Rd","Muang","Phuket","TH","https://www.facebook.com/starzphuket/","+66 76 398 116","Bar","https://www.google.com/maps/search/?api=1&query=Starz%20Rooftop%20Bar%20%26%20Restaurant&query_place_id=ChIJE9SxlnElUDARwop4e60rY90"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMnql1nikFgwNPkd7xG03DLQmtgvLpfCnOAU87YBJJF27_rqcGIto2d9dPjGLNxnm05dYeTdpbXBSnt8SA3p3fWPXINwzNtCv90KP81JU6mqCyhVNc1uQu7GPS-UMcPYjNcxrH=w408-h306-k-no","Carpe Diem Beach Club - Phuket","4.7","2477","99, 1 Bangtao Beach Road","Thalang District","Phuket","TH","http://www.carpediemphuket.com/","+66 65 058 5388","Beach club","https://www.google.com/maps/search/?api=1&query=Carpe%20Diem%20Beach%20Club%20-%20Phuket&query_place_id=ChIJ81Ryc5U5UDAR_pDIoGz5fUs"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnfxr3sO-LSdbTBYsp0-Y4G25fs_96y28tD95rrITtMNQ4xFp338fALrD7dcOwPtytAmZQGMzGfWD_c7wtjEeP8Q5gmcA2PxR0zopOb6p8jdMwKj_-F__KaThBypBHcWaDoDlE=w408-h271-k-no","Glimpse Bar & Bistro Phuket","4.7","69","17, บ้านเลขที่ 15, 19 Chanacharoen Rd","Mueang Phuket District","Phuket","TH",,"","Night club","https://www.google.com/maps/search/?api=1&query=Glimpse%20Bar%20%26%20Bistro%20Phuket&query_place_id=ChIJdwUoVLExUDAR_vMapWVuXDI"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfs9dvUQDNDZmN-K2lQF6kE5IaUXAGzKtLzGAQHahjQpNbFS7AWnUtP4vFKqRoJRP3DvVO-Sa5pgm3b7zINSXRiTSM3ZHwVFtVwApr-NaGsaIN7CMoFvgKBmKdampYgcLjxaSO4w=w475-h240-k-no","The Tipsy Mermaid","4.7","17",,"Thalang District","Phuket","TH",,"+66 89 401 1947","Bar","https://www.google.com/maps/search/?api=1&query=The%20Tipsy%20Mermaid&query_place_id=ChIJmxspy1g5UDARdzAdVFs_xes"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeeqwjPCu33Eo1m33qDEINn0AwXACNZSCACwZH_0Q_INzh4seu4vPvkakVZghWdU7Lv_F1OuTTJVh_2dxF8V0dwcl1iRej1nbp8dLJ23d_r3FWQEhsWkWrmuSiARJP7lqT5Hmc=w408-h272-k-no","Suzy Wong's A Go-Go","4.8","3030","23, off, 17-18 Soi Seadragon","Phuket","Phuket","TH","https://suzywongs.com/","+66 94 574 3747","Bar","https://www.google.com/maps/search/?api=1&query=Suzy%20Wong's%20A%20Go-Go&query_place_id=ChIJeW-Zt7w6UDARPi0PRqqL_K0"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSqbiVzIZnpdmNkecgz1-ExXoRi7cLlD1Mjj1rGRioHwe2R3PBnYrpSyPtnDF0n0PiIDPwYiyElkSH2Jo1mIsk_xSTneiatUgsVWKfdXaxq3CMx4e9xIeUPOjwwVKmgfxrdcvf7w=w408-h306-k-no","New York - Live Music Bar","4.4","1953","68 Bangla Rd","Kathu District","Phuket","TH","https://newyorklivemusic.club/","+66 89 217 7799","Live music bar","https://www.google.com/maps/search/?api=1&query=New%20York%20-%20Live%20Music%20Bar&query_place_id=ChIJNSK1prw6UDARktihMsh6fKI"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTUN5VLCMHzWiryM-RZeGn7FZBFANtE1WX7yWW8mmsKfgvTALT1uDj0752pTr3iu1jcvst5QXxnwD2X3nBJtgRiYJb17QtucJMJeEsLvm9Aoqmxn3Y8gHXqojqdzUcjX9rR0ft=w408-h271-k-no","Little Tribe","5","104","2nd floor, 49, 36 Bandon-Cherngtalay Rd","Thalang District","Phuket","TH","https://bio.littletribephuket.com/","+66 91 761 6611","Cocktail bar","https://www.google.com/maps/search/?api=1&query=Little%20Tribe&query_place_id=ChIJfzXb-Gg5UDARcylonEEm-Ig"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXi3DxxRnGwTogopKR3oAr4ChNPj0zGtyitbShUgooih24Lif0uMS3dIqYEBWkmIniwToEKtH_HO3Y2N1CxjKTZ2kKTCtXfl1ko2gg34MVcTEYEZ0bMkYloERoNnq_A35rOagGshwLzZD6=w408-h544-k-no","BARBANSAN Old Town","5","14","56, 1 Soi Phisai Sapphakit","Mueang Phuket District","Phuket","TH",,"","Cocktail bar","https://www.google.com/maps/search/?api=1&query=BARBANSAN%20Old%20Town&query_place_id=ChIJr_N56fkxUDARDK7-7j5XWW0"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhBpZAB4Q0PnfyDdlU_UER06RCjYQ0he_NnAGVTBe_lPTxETXhf_buWiv6IFtElDI90KryTAfxVDaxAPxBWEJK8yXThVLjIdiClPRyK4hgXGem7apW1P5vgcFIA6mm62VzP9H3=w425-h240-k-no","Illuzion Phuket","4.4","8032","31 Bangla Rd","Kathu District","Phuket","TH","http://www.illuzionphuket.com/","+66 64 454 4985","Night club","https://www.google.com/maps/search/?api=1&query=Illuzion%20Phuket&query_place_id=ChIJA4Aqqbw6UDARcgkqgvpCe7I"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGepK3vUDuWZ7d-Gp1UDURh29a05qWiDXMZiNUzGHQYscf4-5jAHK8b8HkfXIXk8UQikvqpfPEJBFWWS-x_HIevBV_uk3sfDp4kbU04PkX7_9eb8ZE8cCWbf_yS--BOxgmSNzGYNg=w408-h544-k-no","The Sunset Bar Phuket","4.8","14","Muen-Ngern Rd","Kathu District","Phuket","TH","https://www.absoluteresorts.com/dining/","+66 76 302 099","Bar","https://www.google.com/maps/search/?api=1&query=The%20Sunset%20Bar%20Phuket&query_place_id=ChIJjXYuGuI7UDARrcSasyw9EJM"
