"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAH10TzmQ3k3wk57ylC02UZY0igKDu2ppfXgrPJ-U5uV-tQ-m3W0_bT6QgMVg99TTi39NFRDJE6IRb_NzU983CqrGtlo2fAdpIiqxNRaCJDUb04BZETQTCWQA2rUncX9nSkRmOp9uw=w408-h306-k-no","Beach Bar Olá Brasil","4.8","570","H3XR+3JX","Santa Maria",,"CV","https://m.facebook.com/profile.php?id=832160470171473&__tn__=C-R","+238 923 56 54","Bar","https://www.google.com/maps/search/?api=1&query=Beach%20Bar%20Ol%C3%A1%20Brasil&query_place_id=ChIJbfGk5wpcSwkRmwy9SYBgVjU"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbdm3aejhpkibUkslVredkfPkea9CTM9yln5IB99E_Xf-Umpetw5EymZSu9mYlaxeZu5rEXqbf651nP_4CV0bMEx6VsF3hQ_mFcyEB11DnbQ4qmnJzruZECPzOglkc5cbvr8uRTzWlH2mM=w408-h544-k-no","Josy‘s bar","4.8","93","Rua da Amizade","Santa Maria",,"CV",,"+238 999 05 39","Cocktail bar","https://www.google.com/maps/search/?api=1&query=Josy%E2%80%98s%20bar&query_place_id=ChIJTZKKaABbSwkRl60QJUEaDSk"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtTyt1J9NT4YseNA-7eQ6VjFS4Fuywv1oyU2oQ038orUybz1NxGR-b73KIGilldAfCvu2m76dk93kuTQjszmHWbAo3ZjAzNxu-oTuhXnVhIgc3wlmCy-Fgj1kRPJl7PKPj0Q2uX_yCI8I=w408-h292-k-no","PortoAntigoBeachHouse","4.9","49","Run 15 de Agosto","Santa Maria",,"CV","https://portoantigobeachhouse.com/","+238 972 00 46","Bar","https://www.google.com/maps/search/?api=1&query=PortoAntigoBeachHouse&query_place_id=ChIJWQh7yxVbSwkRFC_R0A8xQu4"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL2bnipOkGKJ9OaIfH5hYyU31jrjoTWBulN4F213jWspQfrNWMMTwnrF3DcBv2ESEHYthGWvm1SChseZCQpqsoKiWKMP4OHeIO8ut-A-fK6dK8ekglc7IpRh4AWhXHesn8UZQWlaguxboW=w408-h272-k-no","FLAME NIGHT CLUB","5","1","ENTRADA DE","Santa Maria",,"CV","https://www.instagram.com/flamesexynights/","+238 987 15 94","Cocktail bar","https://www.google.com/maps/search/?api=1&query=FLAME%20NIGHT%20CLUB&query_place_id=ChIJj10lI7hdSwkRW8FmaJBdWEM"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1YwVVt3_6UfsWGj3j94URdLqyVhtJg9BW4-gCvuwuKryhbTQEkaOfXYWBVc7SHEdykwOEw42wct3zjH9XIQeSd_K07UvpfqWA0Ed59hY64pde9WqF2DhSBUnMUZNf5zrz_Jee=w408-h306-k-no","Buddy Bar","4.4","822","H3XV+FHH, R. 1 de Junho","Santa Maria",,"CV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Buddy%20Bar&query_place_id=ChIJbxFPggpcSwkRLyuJKvAYlsQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG-Rj5ZJkljS6_mv15XeyuQImTutYTeg_A7HRpr1J12G4B2et-rNqhaRxv7bORaIss9lHnjm7NQByK1Hz-wWuMpK9xQzY8Fc1RLzXwso3MxlNThX4kS0pQhaxofMmgFty_Yz84=w408-h306-k-no","Murdeira","4.7","79","Cabocan Lote E 2, Santa Maria, Ilha do Sal",,,"CV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Murdeira&query_place_id=ChIJvwntoe5dSwkR3Ku_v6QjoPA"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGB_D20fFTMqJi-FktE__Ep4UPzIA6XKDPzGrpOw6GOkyY2oZDkMWaSUswvKVfOg7JmlSF5_K61EnSBdgbUJhUiR8O4hNMHhoo-hvruypmYcttti1Gl2JcPG3_w-eOUpaGfWLs=w408-h306-k-no","Pub Calema","4.3","688","R. 1 de Junho","Santa Maria",,"CV","https://m.facebook.com/pages/Pub-Calema/213814651999545","+238 908 47 84","Bar","https://www.google.com/maps/search/?api=1&query=Pub%20Calema&query_place_id=ChIJj7rehQpcSwkRo29S15eluNw"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHD0oYPPHHjQvsr0vduv5P5mjXb25lyunw5rVzsKwCJWtyGOH16p4Z7oBW6DW79Umsmcrx2t1An9IkZiBbdFsfRx_85iSIbcDzaDv55o7cC7bxCoLVvn5kxbS9d6D0PPRvvaT72m9ZKA9t9=w426-h240-k-no","Vista Mar Beach Bar","4.6","44","H3RM+VF6, R. Ilha do Sal","Praia",,"CV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Vista%20Mar%20Beach%20Bar&query_place_id=ChIJzdl8OgBdSwkR9s4PIww-OpA"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVFpIwWhvC5Ednq03b1jIv6ZR3Gj7biT3pSULchCTPu63VnHl0Kphbk-QuzqmbyoU3wRPIyRD8w4SnwxDxukUvP1LhqD2skctcTFWtgEWHzCJpivEXUmWUORBdGxCPmjH_3hvA=w408-h306-k-no","Chill Out Bar","4.1","234","H3XV+H5F, R. 1 de Junho","Santa Maria",,"CV",,"","Bar","https://www.google.com/maps/search/?api=1&query=Chill%20Out%20Bar&query_place_id=ChIJEwI4igpcSwkRIzQacl7cnOE"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAd6icXbsarGuLr_8eamNlaXnIIXx7rmp3iZgD3NKcp_t9tGDzim8Y2NL2qxYEtGUALZS4ZUFIFx58uB0joBnc1-AmIqRBwD7Vp5K-kYYMBCuMln9VVbTlwu6Rbnq3srJ-ln53PiShHiI=w408-h306-k-no","Daiquiri","4.8","8","Cabocan Lote E 2, Santa Maria, Ilha do Sal",,,"CV","https://www.riu.com/en/hotel/cape-verde/island-of-sal/hotel-riu-palace-santa-maria","","Bar","https://www.google.com/maps/search/?api=1&query=Daiquiri&query_place_id=ChIJ5eBL7S1dSwkRc0qeITZeWrk"
