latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.330404,115.008575,616.0,28800,Asia/Makassar,GMT+8

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,28.0,53,40895.55,5.0
2025-09-02,28.9,51,41581.51,3.0
2025-09-03,27.2,53,41768.55,9.0
2025-09-04,28.1,51,41310.61,2.0
2025-09-05,28.0,53,38394.64,4.0
2025-09-06,25.4,53,41040.22,7.0
2025-09-07,26.3,51,38463.20,4.0
2025-09-08,25.8,53,36426.93,11.0
2025-09-09,22.0,63,10422.84,24.0
2025-09-10,25.0,61,11428.53,14.0
2025-09-11,28.2,51,41413.16,3.0
2025-09-12,27.5,53,41161.00,6.0
2025-09-13,29.0,3,42106.26,0.0
2025-09-14,26.0,61,41821.57,9.0
2025-09-15,25.0,65,31377.53,9.0
2025-09-16,24.9,63,27813.21,8.0
2025-09-17,25.7,61,40918.03,11.0
2025-09-18,25.5,65,40540.50,11.0
2025-09-19,26.7,53,40183.23,12.0
2025-09-20,27.9,53,41012.51,9.0
2025-09-21,27.1,55,42198.42,8.0
2025-09-22,29.0,51,42372.36,6.0
2025-09-23,28.2,51,42457.66,3.0
2025-09-24,27.0,53,42491.04,8.0
2025-09-25,27.9,53,42524.24,6.0
2025-09-26,28.3,55,42557.70,8.0
2025-09-27,28.5,61,42591.34,7.0
2025-09-28,28.6,61,42625.10,5.0
2025-09-29,27.8,51,39058.92,6.0
2025-09-30,24.8,61,20481.30,13.0
2025-10-01,28.1,53,42726.43,7.0
2025-10-02,28.7,51,42760.00,8.0
2025-10-03,28.6,53,42793.34,3.0
2025-10-04,28.1,53,42826.40,6.0
2025-10-05,28.6,53,42859.11,7.0
2025-10-06,27.5,51,42891.39,8.0
2025-10-07,28.7,3,42923.18,0.0
2025-10-08,26.3,51,42954.42,3.0
2025-10-09,27.8,51,42985.03,8.0
2025-10-10,26.4,53,43014.95,9.0
2025-10-11,26.7,55,42563.77,9.0
2025-10-12,29.8,55,42553.51,10.0
2025-10-13,28.9,55,43099.84,8.0
2025-10-14,28.2,61,43126.29,6.0
2025-10-15,28.9,53,43152.08,8.0
2025-10-16,28.0,61,43177.57,10.0
2025-10-17,29.4,53,43200.00,11.0
2025-10-18,29.4,53,43200.00,8.0
2025-10-19,28.5,63,43200.00,12.0
2025-10-20,27.6,65,35039.94,9.0
2025-10-21,24.8,65,15387.75,10.0
2025-10-22,26.3,65,23633.00,11.0
2025-10-23,27.5,65,28750.74,10.0
2025-10-24,28.3,65,36000.00,11.0
2025-10-25,27.5,61,38130.31,11.0
2025-10-26,28.5,65,40118.08,7.0
2025-10-27,26.7,63,13008.70,8.0
2025-10-28,27.8,65,40690.22,12.0
2025-10-29,25.4,61,22497.67,10.0
2025-10-30,27.2,63,33564.00,9.0
2025-10-31,27.5,65,43200.00,14.0
2025-11-01,27.8,61,43200.00,8.0
2025-11-02,28.7,63,41295.91,13.0
2025-11-03,28.1,63,43200.00,9.0
2025-11-04,28.1,61,39475.99,12.0
2025-11-05,27.2,65,35024.71,10.0
2025-11-06,26.0,51,41556.11,7.0
2025-11-07,28.2,51,41451.18,8.0
2025-11-08,26.2,63,43200.00,10.0
2025-11-09,22.8,63,2385.69,14.0
2025-11-10,26.4,63,26060.24,8.0
2025-11-11,27.0,65,22755.27,8.0
2025-11-12,27.3,63,28069.02,15.0
2025-11-13,26.0,53,19327.57,18.0
2025-11-14,24.3,61,26127.06,15.0
2025-11-15,27.2,55,43200.00,4.0
2025-11-16,28.1,61,43200.00,9.0
2025-11-17,27.2,61,30478.59,9.0
2025-11-18,26.6,53,40285.54,12.0
2025-11-19,27.7,51,28459.27,6.0
2025-11-20,28.1,63,41783.08,5.0
2025-11-21,27.4,51,38695.82,6.0
2025-11-22,25.6,63,28703.14,10.0
2025-11-23,25.8,63,25795.35,13.0
2025-11-24,28.1,51,43200.00,3.0
2025-11-25,26.9,51,43200.00,9.0
2025-11-26,27.7,63,40343.64,9.0
2025-11-27,26.2,53,40908.29,8.0
2025-11-28,25.7,53,37957.63,11.0
2025-11-29,25.5,61,30078.42,11.0
2025-11-30,27.3,53,32186.83,8.0
2025-12-01,27.3,61,37194.80,8.0
2025-12-02,28.1,65,30435.53,10.0
2025-12-03,28.2,53,41473.46,5.0
2025-12-04,26.9,53,37231.46,7.0
2025-12-05,26.5,65,33880.05,8.0
2025-12-06,27.5,61,41650.03,11.0
2025-12-07,27.9,63,43200.00,10.0
2025-12-08,26.4,63,38652.21,10.0
2025-12-09,28.3,61,32400.00,11.0
2025-12-10,26.6,63,42836.49,8.0
2025-12-11,26.2,65,25143.90,19.0
2025-12-12,26.9,53,42376.86,9.0
2025-12-13,26.4,63,42786.69,6.0
2025-12-14,25.4,63,19982.72,16.0
2025-12-15,26.1,65,33680.12,17.0
2025-12-16,25.1,51,22010.14,6.0
2025-12-17,28.0,53,43212.24,11.0
2025-12-18,26.4,63,39649.13,10.0
2025-12-19,24.8,63,15063.42,11.0
2025-12-20,26.4,51,13144.10,3.0
2025-12-21,27.8,63,28332.13,7.0
2025-12-22,26.4,61,43240.48,16.0
2025-12-23,25.8,55,39858.42,24.0
2025-12-24,25.8,55,40366.39,21.0
2025-12-25,26.5,61,41721.84,20.0
2025-12-26,26.0,61,37605.20,15.0
2025-12-27,23.2,63,8397.67,20.0
2025-12-28,25.6,55,37816.41,13.0
2025-12-29,27.3,51,39757.98,5.0
2025-12-30,27.9,53,42984.64,10.0
2025-12-31,28.4,61,39468.12,9.0
