latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.743409,100.495865,7.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,31.1,61,40806.82,10.0
2025-09-02,30.7,61,20929.58,12.0
2025-09-03,30.9,61,32804.87,12.0
2025-09-04,30.5,63,26102.79,11.0
2025-09-05,32.3,61,29451.09,14.0
2025-09-06,31.5,63,28255.77,12.0
2025-09-07,31.0,65,25670.18,22.0
2025-09-08,29.2,65,24275.28,20.0
2025-09-09,29.7,63,39997.89,17.0
2025-09-10,28.6,55,4297.56,12.0
2025-09-11,31.4,53,41141.08,5.0
2025-09-12,32.0,63,40121.71,9.0
2025-09-13,33.2,61,31222.10,4.0
2025-09-14,30.2,61,33115.53,7.0
2025-09-15,31.0,53,40243.87,7.0
2025-09-16,31.5,63,29567.96,10.0
2025-09-17,31.9,65,33209.00,12.0
2025-09-18,31.8,63,38365.41,8.0
2025-09-19,29.6,63,19457.77,11.0
2025-09-20,30.5,61,37379.74,12.0
2025-09-21,30.9,63,31110.77,9.0
2025-09-22,31.7,61,27492.04,6.0
2025-09-23,30.6,53,32538.04,10.0
2025-09-24,30.0,55,33427.08,11.0
2025-09-25,30.9,63,25304.68,8.0
2025-09-26,29.9,63,16118.71,9.0
2025-09-27,29.9,65,19874.75,19.0
2025-09-28,31.8,51,28619.77,6.0
2025-09-29,31.8,63,27522.70,7.0
2025-09-30,29.2,63,25893.10,15.0
2025-10-01,31.1,51,34763.38,8.0
2025-10-02,32.8,53,41181.97,1.0
2025-10-03,32.1,61,40308.45,4.0
2025-10-04,30.5,65,34997.28,10.0
2025-10-05,30.9,51,27972.96,1.0
2025-10-06,32.8,61,42525.90,5.0
2025-10-07,32.2,65,32400.00,4.0
2025-10-08,31.7,63,33908.29,8.0
2025-10-09,31.3,53,35929.97,4.0
2025-10-10,32.5,63,35891.39,3.0
2025-10-11,31.4,63,39392.54,10.0
2025-10-12,32.2,63,33533.59,10.0
2025-10-13,31.9,63,29760.52,9.0
2025-10-14,29.1,65,22975.84,19.0
2025-10-15,30.9,61,33000.72,12.0
2025-10-16,32.5,51,35677.66,6.0
2025-10-17,32.8,61,38961.71,3.0
2025-10-18,33.2,63,34357.45,11.0
2025-10-19,32.3,55,38313.54,7.0
2025-10-20,32.5,63,40397.22,8.0
2025-10-21,32.7,63,39113.49,3.0
2025-10-22,31.1,51,39141.81,3.0
2025-10-23,30.6,3,39643.44,0.0
2025-10-24,31.4,51,39341.59,2.0
2025-10-25,32.0,53,39218.14,1.0
2025-10-26,32.8,51,40466.23,1.0
2025-10-27,31.5,51,13420.39,2.0
2025-10-28,30.4,51,7832.02,4.0
2025-10-29,31.9,61,29293.22,5.0
2025-10-30,29.9,63,12372.06,9.0
2025-10-31,31.9,63,28800.00,13.0
2025-11-01,29.1,65,14578.72,24.0
2025-11-02,30.4,65,20554.63,21.0
2025-11-03,29.6,63,12299.88,12.0
2025-11-04,29.5,55,36324.00,8.0
2025-11-05,29.2,51,36309.19,3.0
2025-11-06,30.9,51,32934.21,8.0
2025-11-07,30.0,51,3938.24,1.0
2025-11-08,30.0,61,24587.21,12.0
2025-11-09,32.8,51,35837.23,5.0
2025-11-10,31.1,63,14921.68,11.0
2025-11-11,34.1,51,38443.33,1.0
2025-11-12,33.8,63,35384.75,4.0
2025-11-13,30.8,65,34270.28,12.0
2025-11-14,31.4,61,38635.34,3.0
2025-11-15,29.6,3,40737.98,0.0
2025-11-16,30.5,3,39845.92,0.0
2025-11-17,30.1,63,32615.32,6.0
2025-11-18,30.0,63,25200.00,10.0
2025-11-19,28.0,51,17865.71,1.0
2025-11-20,25.6,3,23965.01,0.0
2025-11-21,25.8,3,8277.20,0.0
2025-11-22,29.4,3,38820.32,0.0
2025-11-23,30.5,3,39347.44,0.0
2025-11-24,31.2,3,37463.74,0.0
2025-11-25,29.8,3,38015.24,0.0
2025-11-26,30.2,3,38549.89,0.0
2025-11-27,29.1,3,38929.17,0.0
2025-11-28,28.1,3,37815.25,0.0
2025-11-29,29.9,3,39752.45,0.0
2025-11-30,31.5,3,39526.04,0.0
2025-12-01,33.2,2,39300.27,0.0
2025-12-02,34.7,2,39332.12,0.0
2025-12-03,35.1,51,39107.65,1.0
2025-12-04,32.9,51,38427.51,2.0
2025-12-05,31.2,61,32400.00,9.0
2025-12-06,30.2,3,38952.70,0.0
2025-12-07,31.4,3,38988.27,0.0
2025-12-08,29.8,3,39024.44,0.0
2025-12-09,29.8,3,37936.30,0.0
2025-12-10,31.6,3,38839.35,0.0
2025-12-11,26.8,51,21224.42,1.0
2025-12-12,28.9,51,28321.82,1.0
2025-12-13,31.8,61,33151.50,3.0
2025-12-14,31.5,51,38915.50,1.0
2025-12-15,32.1,3,38448.81,0.0
2025-12-16,33.7,3,38965.50,0.0
2025-12-17,33.1,3,38949.23,0.0
2025-12-18,31.6,51,39020.04,2.0
2025-12-19,32.8,3,37877.36,0.0
2025-12-20,34.0,1,39078.39,0.0
2025-12-21,32.9,3,39108.76,0.0
2025-12-22,33.7,3,39139.79,0.0
2025-12-23,33.3,51,39171.39,1.0
2025-12-24,33.8,3,39203.48,0.0
2025-12-25,34.8,3,37262.34,0.0
2025-12-26,32.0,3,39268.69,0.0
2025-12-27,32.5,3,28041.25,0.0
2025-12-28,33.0,3,39334.66,0.0
2025-12-29,33.3,3,39367.69,0.0
2025-12-30,34.0,2,39400.63,0.0
2025-12-31,33.5,3,39433.37,0.0
