latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.636204,18.18584,17.0,7200,Europe/Zagreb,GMT+2

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,24.7,2,44747.91,0.0
2025-09-02,27.3,3,45091.60,0.0
2025-09-03,26.6,53,43200.00,2.0
2025-09-04,27.7,2,44518.45,0.0
2025-09-05,28.8,1,44233.09,0.0
2025-09-06,27.9,0,44262.60,0.0
2025-09-07,28.0,3,40378.50,0.0
2025-09-08,26.9,3,42692.95,0.0
2025-09-09,26.2,3,39600.00,0.0
2025-09-10,27.7,65,18579.13,7.0
2025-09-11,24.6,65,29942.59,17.0
2025-09-12,25.8,3,43064.45,0.0
2025-09-13,27.9,2,43293.11,0.0
2025-09-14,26.8,51,39383.16,1.0
2025-09-15,26.8,3,42827.81,0.0
2025-09-16,26.9,3,42632.74,0.0
2025-09-17,27.6,3,40823.38,0.0
2025-09-18,26.8,0,42417.18,0.0
2025-09-19,27.1,0,42304.64,0.0
2025-09-20,27.4,0,41733.47,0.0
2025-09-21,27.2,0,41474.50,0.0
2025-09-22,27.3,0,41215.36,0.0
2025-09-23,26.6,3,39706.46,0.0
2025-09-24,25.1,61,29032.50,8.0
2025-09-25,23.6,55,35689.10,11.0
2025-09-26,24.4,3,31505.87,0.0
2025-09-27,23.4,51,37942.50,3.0
2025-09-28,21.3,63,8082.49,5.0
2025-09-29,22.7,1,39713.11,0.0
2025-09-30,22.8,3,39600.00,0.0
2025-10-01,21.9,53,23098.63,4.0
2025-10-02,17.4,55,19850.44,4.0
2025-10-03,13.7,51,4708.61,2.0
2025-10-04,17.9,3,38264.53,0.0
2025-10-05,18.5,65,15930.52,11.0
2025-10-06,19.2,55,39600.00,4.0
2025-10-07,19.1,3,39600.00,0.0
2025-10-08,20.0,2,38267.55,0.0
2025-10-09,19.9,3,39600.00,0.0
2025-10-10,22.1,3,39600.00,0.0
2025-10-11,22.1,3,39572.83,0.0
2025-10-12,21.4,3,39503.26,0.0
2025-10-13,20.7,3,39433.42,0.0
2025-10-14,19.6,1,39363.31,0.0
2025-10-15,20.1,2,39292.74,0.0
2025-10-16,19.9,51,17450.11,5.0
2025-10-17,20.1,3,4851.06,0.0
2025-10-18,19.8,53,38314.73,2.0
2025-10-19,19.2,3,38644.05,0.0
2025-10-20,18.9,3,35332.48,0.0
2025-10-21,19.4,51,27397.24,5.0
2025-10-22,20.0,61,28087.82,11.0
2025-10-23,20.2,63,25212.44,5.0
2025-10-24,20.2,65,37813.83,8.0
2025-10-25,18.8,65,31438.37,6.0
2025-10-26,19.0,63,4682.45,20.0
2025-10-27,17.1,53,36250.51,11.0
2025-10-28,19.5,51,36013.14,2.0
2025-10-29,18.7,2,36440.77,0.0
2025-10-30,19.8,51,22237.20,9.0
2025-10-31,21.0,53,18752.54,4.0
2025-11-01,20.8,3,34365.85,0.0
2025-11-02,21.0,51,33777.03,1.0
2025-11-03,18.8,63,2288.90,22.0
2025-11-04,18.9,61,33604.12,2.0
2025-11-05,18.3,0,33345.73,0.0
2025-11-06,18.4,3,33085.98,0.0
2025-11-07,16.7,51,31982.96,3.0
2025-11-08,14.0,63,0.00,14.0
2025-11-09,17.9,61,19506.14,8.0
2025-11-10,16.7,63,0.00,22.0
2025-11-11,17.3,3,32400.00,0.0
2025-11-12,17.1,3,32400.00,0.0
2025-11-13,16.9,2,32400.00,0.0
2025-11-14,16.7,3,32400.00,0.0
2025-11-15,16.4,3,32292.67,0.0
2025-11-16,17.8,3,31055.13,0.0
2025-11-17,18.1,63,16918.53,16.0
2025-11-18,17.3,63,5976.73,16.0
2025-11-19,14.7,61,7558.05,18.0
2025-11-20,16.1,63,26606.27,19.0
2025-11-21,14.0,65,1891.87,20.0
2025-11-22,13.3,63,7571.70,19.0
2025-11-23,10.8,63,20981.17,11.0
2025-11-24,12.7,63,18000.00,9.0
2025-11-25,17.0,63,2569.49,19.0
2025-11-26,14.9,63,32400.00,9.0
2025-11-27,13.1,63,17771.68,11.0
2025-11-28,14.9,3,28997.46,0.0
2025-11-29,14.1,3,31882.09,0.0
2025-11-30,13.5,2,32291.59,0.0
2025-12-01,14.3,3,32225.17,0.0
2025-12-02,15.5,53,30277.21,5.0
2025-12-03,14.9,63,13654.33,18.0
2025-12-04,15.9,63,0.00,17.0
2025-12-05,15.3,55,6547.85,12.0
2025-12-06,18.4,51,31911.03,2.0
2025-12-07,16.0,3,28800.00,0.0
2025-12-08,16.5,3,31796.35,0.0
2025-12-09,15.7,3,31741.92,0.0
2025-12-10,15.2,3,31154.77,0.0
2025-12-11,14.7,2,31639.55,0.0
2025-12-12,15.1,2,31591.89,0.0
2025-12-13,15.5,1,31546.70,0.0
2025-12-14,15.4,0,31503.09,0.0
2025-12-15,13.9,3,31460.80,0.0
2025-12-16,14.5,3,21977.89,0.0
2025-12-17,13.2,61,8273.14,10.0
2025-12-18,15.9,3,14993.43,0.0
2025-12-19,15.8,3,21600.00,0.0
2025-12-20,16.0,1,30612.84,0.0
2025-12-21,15.4,0,31009.04,0.0
2025-12-22,15.3,0,30641.87,0.0
2025-12-23,14.5,53,13302.10,4.0
2025-12-24,13.2,63,10240.64,13.0
2025-12-25,15.2,3,29154.49,0.0
2025-12-26,14.6,0,30683.15,0.0
2025-12-27,15.3,0,31069.21,0.0
2025-12-28,14.3,0,30694.79,0.0
2025-12-29,12.5,0,31061.53,0.0
2025-12-30,12.2,3,26841.82,0.0
2025-12-31,4.8,0,31042.13,0.0
