latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.251318,-59.61679,0.0,-14400,America/Barbados,GMT-4

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,32.8,55,43200.00,5.0
2025-09-02,32.1,51,43200.00,8.0
2025-09-03,32.2,51,43200.00,6.0
2025-09-04,31.0,53,39600.00,7.0
2025-09-05,32.2,51,43200.00,1.0
2025-09-06,31.9,51,43083.66,6.0
2025-09-07,32.4,53,43200.00,7.0
2025-09-08,32.9,53,43200.00,4.0
2025-09-09,32.1,53,43200.00,6.0
2025-09-10,32.2,53,43174.06,7.0
2025-09-11,32.7,51,40916.62,2.0
2025-09-12,30.3,61,20312.87,16.0
2025-09-13,31.5,63,32400.00,15.0
2025-09-14,32.0,53,42999.00,9.0
2025-09-15,32.7,55,42955.00,7.0
2025-09-16,33.5,61,42911.06,8.0
2025-09-17,32.9,51,42867.23,2.0
2025-09-18,33.0,51,42823.61,6.0
2025-09-19,32.8,53,42780.23,4.0
2025-09-20,31.8,53,42737.20,10.0
2025-09-21,32.3,51,42694.58,5.0
2025-09-22,32.7,51,38167.32,10.0
2025-09-23,29.3,63,14926.13,9.0
2025-09-24,31.4,55,42491.13,9.0
2025-09-25,33.5,51,42527.73,1.0
2025-09-26,33.0,53,38885.81,6.0
2025-09-27,33.2,51,42443.74,8.0
2025-09-28,32.5,51,42401.59,5.0
2025-09-29,32.4,61,39439.88,10.0
2025-09-30,30.4,51,42317.36,7.0
2025-10-01,33.1,51,40868.23,7.0
2025-10-02,33.2,53,41838.32,6.0
2025-10-03,33.2,51,40912.33,3.0
2025-10-04,31.9,53,42120.64,9.0
2025-10-05,31.9,51,42110.52,9.0
2025-10-06,33.0,51,41928.21,6.0
2025-10-07,31.0,63,30230.65,10.0
2025-10-08,31.9,53,40524.51,12.0
2025-10-09,31.1,61,18700.23,11.0
2025-10-10,32.8,53,32115.64,7.0
2025-10-11,31.9,53,41083.34,10.0
2025-10-12,31.4,61,40626.08,11.0
2025-10-13,31.7,51,38587.62,8.0
2025-10-14,32.2,53,39632.99,6.0
2025-10-15,33.4,3,41201.74,0.0
2025-10-16,34.0,3,41421.04,0.0
2025-10-17,33.6,51,40960.79,5.0
2025-10-18,32.1,53,38550.61,12.0
2025-10-19,29.5,63,17964.65,22.0
2025-10-20,30.5,61,35465.82,14.0
2025-10-21,31.7,51,39600.00,9.0
2025-10-22,32.0,51,40570.70,5.0
2025-10-23,32.6,51,40587.90,9.0
2025-10-24,32.5,53,40362.76,6.0
2025-10-25,31.6,55,40378.92,6.0
2025-10-26,32.3,53,39909.31,7.0
2025-10-27,32.2,51,40167.01,7.0
2025-10-28,32.0,53,39938.15,8.0
2025-10-29,32.5,51,39600.00,6.0
2025-10-30,29.8,53,25085.93,9.0
2025-10-31,30.7,61,35366.91,13.0
2025-11-01,31.5,51,40234.27,4.0
2025-11-02,31.2,51,40000.73,7.0
2025-11-03,31.2,51,40011.46,3.0
2025-11-04,31.2,53,39600.00,5.0
2025-11-05,31.6,51,38981.58,1.0
2025-11-06,31.5,53,39600.00,12.0
2025-11-07,30.1,63,32434.12,16.0
2025-11-08,29.7,63,19991.14,14.0
2025-11-09,30.4,51,39818.71,7.0
2025-11-10,31.1,51,39825.88,3.0
2025-11-11,31.0,51,40081.32,2.0
2025-11-12,31.2,53,39834.97,6.0
2025-11-13,30.7,51,39815.40,3.0
2025-11-14,31.0,51,40044.80,6.0
2025-11-15,29.9,53,39519.18,10.0
2025-11-16,29.3,65,39492.61,15.0
2025-11-17,28.9,51,38403.29,5.0
2025-11-18,30.7,51,39438.29,12.0
2025-11-19,31.1,51,39425.41,3.0
2025-11-20,31.3,51,34545.09,1.0
2025-11-21,31.1,51,39159.66,1.0
2025-11-22,30.6,51,39595.93,1.0
2025-11-23,29.7,53,39297.07,14.0
2025-11-24,31.6,51,36922.12,5.0
2025-11-25,31.1,51,27937.75,2.0
2025-11-26,30.5,51,39017.92,1.0
2025-11-27,28.8,53,39436.66,10.0
2025-11-28,30.0,51,38922.12,1.0
2025-11-29,29.9,51,39109.62,16.0
2025-11-30,30.1,51,39582.12,7.0
2025-12-01,30.2,51,38859.02,5.0
2025-12-02,28.7,65,32076.41,15.0
2025-12-03,28.5,63,4616.49,23.0
2025-12-04,29.9,53,36821.56,4.0
2025-12-05,29.9,51,39383.71,5.0
2025-12-06,29.8,51,39600.12,2.0
2025-12-07,30.0,2,39043.29,0.0
2025-12-08,29.2,51,39259.52,11.0
2025-12-09,31.2,51,38946.93,1.0
2025-12-10,30.3,51,39434.75,3.0
2025-12-11,29.2,53,37066.43,14.0
2025-12-12,29.5,55,39352.49,5.0
2025-12-13,29.7,51,39570.43,7.0
2025-12-14,30.0,51,39528.59,3.0
2025-12-15,29.1,55,39485.70,6.0
2025-12-16,28.8,55,37271.82,11.0
2025-12-17,29.7,53,38992.47,8.0
2025-12-18,29.6,51,38735.39,13.0
2025-12-19,29.6,53,38216.09,8.0
2025-12-20,29.8,51,38998.58,8.0
2025-12-21,28.9,51,39993.88,5.0
2025-12-22,29.4,51,39947.83,3.0
2025-12-23,29.0,51,39901.84,4.0
2025-12-24,29.7,51,40032.33,4.0
2025-12-25,29.1,53,38990.13,10.0
2025-12-26,29.2,51,40284.67,3.0
2025-12-27,29.3,51,39500.82,5.0
2025-12-28,29.3,51,38457.17,12.0
2025-12-29,28.2,53,26669.74,14.0
2025-12-30,28.2,61,36926.48,11.0
2025-12-31,29.4,2,39474.11,0.0
