latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.980667,1.3561643,113.0,7200,Europe/Madrid,GMT+2

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,27.9,3,43200.00,0.0
2025-09-02,28.2,3,40544.39,0.0
2025-09-03,28.5,1,43200.00,0.0
2025-09-04,28.8,3,43210.53,0.0
2025-09-05,28.6,3,43200.00,0.0
2025-09-06,29.9,51,33152.88,1.0
2025-09-07,30.8,3,39149.56,0.0
2025-09-08,32.8,51,38040.38,4.0
2025-09-09,24.7,63,3600.00,13.0
2025-09-10,27.4,55,42588.41,4.0
2025-09-11,28.9,0,43200.00,0.0
2025-09-12,29.0,3,43200.00,0.0
2025-09-13,30.5,3,35666.84,0.0
2025-09-14,29.5,3,43200.00,0.0
2025-09-15,29.3,1,43102.70,0.0
2025-09-16,29.1,1,43005.11,0.0
2025-09-17,29.1,3,42907.65,0.0
2025-09-18,29.1,3,42539.54,0.0
2025-09-19,28.5,3,42480.54,0.0
2025-09-20,28.6,51,42528.76,1.0
2025-09-21,28.0,51,34722.67,1.0
2025-09-22,23.8,65,42329.23,2.0
2025-09-23,22.8,51,33177.53,3.0
2025-09-24,23.7,3,41241.34,0.0
2025-09-25,25.4,3,41289.54,0.0
2025-09-26,25.5,0,41042.01,0.0
2025-09-27,26.0,3,40794.56,0.0
2025-09-28,27.7,3,29747.16,0.0
2025-09-29,25.9,63,28118.90,8.0
2025-09-30,20.1,63,3046.36,19.0
2025-10-01,25.5,51,39803.95,1.0
2025-10-02,24.2,53,39600.00,4.0
2025-10-03,25.1,51,39600.00,1.0
2025-10-04,25.5,3,39652.26,0.0
2025-10-05,23.6,55,25200.00,7.0
2025-10-06,24.0,3,38668.56,0.0
2025-10-07,24.1,3,39558.41,0.0
2025-10-08,23.9,3,39468.56,0.0
2025-10-09,21.6,63,6239.34,11.0
2025-10-10,23.4,61,34588.20,12.0
2025-10-11,23.4,61,23595.29,4.0
2025-10-12,23.9,53,25636.76,6.0
2025-10-13,24.2,51,21184.81,2.0
2025-10-14,23.8,63,35639.45,11.0
2025-10-15,23.0,51,38112.05,3.0
2025-10-16,23.1,51,37536.63,5.0
2025-10-17,23.0,51,36963.38,3.0
2025-10-18,23.4,51,38835.79,2.0
2025-10-19,23.1,3,38839.21,0.0
2025-10-20,23.5,3,36763.09,0.0
2025-10-21,24.5,3,37722.68,0.0
2025-10-22,24.8,3,38377.69,0.0
2025-10-23,26.6,3,37489.52,0.0
2025-10-24,24.4,3,37162.21,0.0
2025-10-25,26.1,3,36810.16,0.0
2025-10-26,19.8,51,10521.29,2.0
2025-10-27,20.5,1,37353.76,0.0
2025-10-28,22.0,3,35931.46,0.0
2025-10-29,23.9,61,36029.77,5.0
2025-10-30,21.5,51,35994.06,8.0
2025-10-31,22.9,3,34598.62,0.0
2025-11-01,22.7,3,34678.92,0.0
2025-11-02,22.5,51,31415.16,1.0
2025-11-03,20.5,3,35553.21,0.0
2025-11-04,21.6,3,34910.18,0.0
2025-11-05,22.4,3,34025.71,0.0
2025-11-06,19.1,61,28952.41,3.0
2025-11-07,18.5,3,34494.48,0.0
2025-11-08,18.0,63,24869.38,20.0
2025-11-09,19.8,3,34411.79,0.0
2025-11-10,20.0,3,33147.93,0.0
2025-11-11,20.5,3,33761.37,0.0
2025-11-12,22.3,3,32899.33,0.0
2025-11-13,24.4,3,34224.07,0.0
2025-11-14,23.0,3,12602.33,0.0
2025-11-15,20.7,3,33629.22,0.0
2025-11-16,19.5,61,26880.67,3.0
2025-11-17,17.4,63,22750.90,5.0
2025-11-18,18.7,53,32400.00,3.0
2025-11-19,17.3,51,33072.89,2.0
2025-11-20,14.9,3,33095.63,0.0
2025-11-21,12.9,51,33117.19,6.0
2025-11-22,12.7,3,33137.52,0.0
2025-11-23,16.9,3,32485.74,0.0
2025-11-24,17.2,3,32502.24,0.0
2025-11-25,17.1,63,30545.03,2.0
2025-11-26,13.6,3,32869.70,0.0
2025-11-27,13.9,2,33222.10,0.0
2025-11-28,15.9,1,32896.62,0.0
2025-11-29,16.5,3,32568.63,0.0
2025-11-30,16.2,3,27910.05,0.0
2025-12-01,16.2,51,32400.00,2.0
2025-12-02,16.4,51,24535.35,2.0
2025-12-03,14.9,2,32522.44,0.0
2025-12-04,14.9,55,19259.74,4.0
2025-12-05,16.2,3,30599.71,0.0
2025-12-06,19.5,3,32366.92,0.0
2025-12-07,19.5,3,32315.59,0.0
2025-12-08,17.9,3,31960.00,0.0
2025-12-09,17.2,3,32560.31,0.0
2025-12-10,18.1,3,32164.85,0.0
2025-12-11,17.4,51,32116.11,4.0
2025-12-12,17.6,51,31854.59,3.0
2025-12-13,16.6,3,32021.41,0.0
2025-12-14,17.5,63,25537.67,6.0
2025-12-15,18.4,61,32275.11,6.0
2025-12-16,15.4,53,19378.75,10.0
2025-12-17,16.0,55,30942.49,13.0
2025-12-18,17.0,51,31783.82,1.0
2025-12-19,16.5,53,25585.23,4.0
2025-12-20,14.4,55,34.37,21.0
2025-12-21,15.7,61,31211.15,5.0
2025-12-22,11.1,63,7222.82,14.0
2025-12-23,12.7,51,29454.27,3.0
2025-12-24,14.1,61,29386.56,8.0
2025-12-25,11.9,63,15510.99,13.0
2025-12-26,14.5,51,31057.72,3.0
2025-12-27,13.4,63,29992.53,4.0
2025-12-28,16.0,53,31690.62,6.0
2025-12-29,13.9,63,23426.24,4.0
2025-12-30,14.5,51,32744.17,1.0
2025-12-31,13.9,1,32628.78,0.0
