latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.1985939,73.002426,0.0,18000,Indian/Maldives,GMT+5

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,29.1,61,37617.00,8.0
2025-09-02,28.8,63,39031.54,12.0
2025-09-03,28.6,51,40815.00,1.0
2025-09-04,28.8,51,42870.73,3.0
2025-09-05,29.1,3,42430.20,0.0
2025-09-06,29.1,51,39806.16,2.0
2025-09-07,29.0,51,42914.36,5.0
2025-09-08,28.4,61,41642.19,14.0
2025-09-09,29.0,53,42945.60,7.0
2025-09-10,28.5,55,37616.06,14.0
2025-09-11,27.9,63,27721.00,16.0
2025-09-12,28.5,51,36941.33,14.0
2025-09-13,27.2,53,41064.31,18.0
2025-09-14,29.0,51,42620.71,7.0
2025-09-15,28.0,53,43044.89,12.0
2025-09-16,29.0,51,43061.68,4.0
2025-09-17,29.5,3,43078.40,0.0
2025-09-18,29.6,3,43094.98,0.0
2025-09-19,29.2,3,43111.39,0.0
2025-09-20,29.5,3,43127.56,0.0
2025-09-21,29.1,53,43143.43,6.0
2025-09-22,29.0,51,43158.96,5.0
2025-09-23,28.9,53,43174.09,5.0
2025-09-24,29.0,51,42182.36,3.0
2025-09-25,29.1,51,41282.80,4.0
2025-09-26,29.5,51,40372.09,2.0
2025-09-27,30.0,51,39510.65,1.0
2025-09-28,29.4,3,43085.31,0.0
2025-09-29,29.6,3,43059.98,0.0
2025-09-30,29.2,53,43034.71,16.0
2025-10-01,29.0,53,42412.23,7.0
2025-10-02,29.4,3,42984.65,0.0
2025-10-03,29.6,3,42551.11,0.0
2025-10-04,29.8,51,42935.61,3.0
2025-10-05,28.9,53,42911.62,5.0
2025-10-06,29.5,51,42888.08,3.0
2025-10-07,29.6,3,42865.05,0.0
2025-10-08,30.2,3,42842.57,0.0
2025-10-09,29.8,53,42820.73,5.0
2025-10-10,27.7,63,11555.12,19.0
2025-10-11,28.9,63,38065.95,17.0
2025-10-12,27.5,65,0.00,23.0
2025-10-13,28.8,63,30587.87,24.0
2025-10-14,29.2,61,0.00,15.0
2025-10-15,28.4,63,23328.54,18.0
2025-10-16,28.6,63,11690.29,16.0
2025-10-17,29.0,51,42671.52,7.0
2025-10-18,29.4,3,42655.13,0.0
2025-10-19,28.9,53,42639.20,11.0
2025-10-20,28.2,63,3616.63,23.0
2025-10-21,27.5,63,18140.86,22.0
2025-10-22,27.6,61,33314.79,23.0
2025-10-23,28.9,61,26063.68,13.0
2025-10-24,28.8,51,42567.93,3.0
2025-10-25,29.1,51,42555.64,1.0
2025-10-26,29.0,3,42544.11,0.0
2025-10-27,29.0,51,36886.59,2.0
2025-10-28,29.5,3,39563.81,0.0
2025-10-29,29.4,3,42514.49,0.0
2025-10-30,29.5,53,42506.41,4.0
2025-10-31,28.6,53,42499.31,4.0
2025-11-01,28.5,3,42493.21,0.0
2025-11-02,28.5,51,42488.18,2.0
2025-11-03,28.4,3,42484.20,0.0
2025-11-04,29.0,3,42481.09,0.0
2025-11-05,28.8,3,42478.83,0.0
2025-11-06,28.2,51,42477.42,2.0
2025-11-07,27.7,51,42476.84,3.0
2025-11-08,28.2,3,42477.11,0.0
2025-11-09,28.5,3,42478.21,0.0
2025-11-10,28.9,3,42480.15,0.0
2025-11-11,28.7,51,42482.92,1.0
2025-11-12,29.0,3,42486.52,0.0
2025-11-13,28.2,3,42490.96,0.0
2025-11-14,28.5,3,42496.22,0.0
2025-11-15,28.5,2,42502.31,0.0
2025-11-16,29.0,3,42509.22,0.0
2025-11-17,29.0,3,41316.79,0.0
2025-11-18,29.0,51,42525.52,1.0
2025-11-19,29.2,51,42534.90,3.0
2025-11-20,29.0,51,42545.10,3.0
2025-11-21,29.5,3,42556.12,0.0
2025-11-22,29.5,53,42567.96,5.0
2025-11-23,28.0,63,37851.01,19.0
2025-11-24,27.6,63,26910.40,23.0
2025-11-25,27.1,65,0.00,24.0
2025-11-26,27.1,63,0.00,23.0
2025-11-27,26.5,63,23956.86,24.0
2025-11-28,27.1,63,25977.56,23.0
2025-11-29,26.7,63,20047.82,24.0
2025-11-30,28.5,63,32956.30,16.0
2025-12-01,28.3,55,42594.68,12.0
2025-12-02,28.1,61,35973.62,14.0
2025-12-03,27.6,63,38843.90,15.0
2025-12-04,27.9,61,42581.87,12.0
2025-12-05,29.0,51,42577.96,2.0
2025-12-06,28.8,51,42574.24,3.0
2025-12-07,28.7,51,42570.72,3.0
2025-12-08,28.2,65,40402.68,13.0
2025-12-09,27.2,63,38988.27,9.0
2025-12-10,28.1,63,42561.45,5.0
2025-12-11,28.1,65,26564.10,9.0
2025-12-12,28.6,3,42063.25,0.0
2025-12-13,28.0,63,39007.09,20.0
2025-12-14,28.6,61,32697.13,7.0
2025-12-15,28.3,3,42551.67,0.0
2025-12-16,28.6,3,42550.60,0.0
2025-12-17,28.9,53,42549.73,3.0
2025-12-18,27.6,55,32444.06,14.0
2025-12-19,27.9,63,17432.08,22.0
2025-12-20,27.4,63,5842.17,23.0
2025-12-21,28.8,55,34824.70,9.0
2025-12-22,28.7,51,39755.49,6.0
2025-12-23,28.5,3,40690.24,0.0
2025-12-24,28.4,51,40453.53,1.0
2025-12-25,28.2,3,42389.16,0.0
2025-12-26,28.1,51,42359.11,1.0
2025-12-27,28.0,3,42329.48,0.0
2025-12-28,28.2,51,40509.97,3.0
2025-12-29,28.9,3,42271.82,0.0
2025-12-30,28.7,51,42041.05,4.0
2025-12-31,28.0,61,23279.66,5.0
