latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.764498,-80.196075,6.0,-14400,America/New_York,GMT-4

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,31.2,61,42900.26,9.0
2025-09-02,32.2,51,42592.14,4.0
2025-09-03,29.8,65,22240.33,11.0
2025-09-04,29.8,65,17069.71,11.0
2025-09-05,28.7,61,21848.05,11.0
2025-09-06,28.7,61,24088.16,14.0
2025-09-07,30.2,65,23658.09,10.0
2025-09-08,30.9,61,29794.63,11.0
2025-09-09,29.9,63,24216.80,8.0
2025-09-10,30.5,63,42687.19,6.0
2025-09-11,30.4,65,28264.17,13.0
2025-09-12,29.8,65,26951.26,8.0
2025-09-13,28.5,61,36321.13,10.0
2025-09-14,29.9,51,42595.27,4.0
2025-09-15,29.3,63,42330.54,12.0
2025-09-16,30.2,63,38513.55,6.0
2025-09-17,27.6,63,80.68,14.0
2025-09-18,28.2,65,21119.92,15.0
2025-09-19,29.8,53,40458.14,8.0
2025-09-20,29.9,53,41650.39,10.0
2025-09-21,29.1,63,37688.80,10.0
2025-09-22,29.5,61,22749.85,11.0
2025-09-23,29.9,63,30196.78,7.0
2025-09-24,29.5,63,35476.74,8.0
2025-09-25,29.6,63,38154.35,10.0
2025-09-26,30.0,51,42308.59,6.0
2025-09-27,29.8,53,42201.58,8.0
2025-09-28,29.2,61,40828.87,15.0
2025-09-29,30.0,55,40330.80,4.0
2025-09-30,32.0,51,42208.29,1.0
2025-10-01,32.3,63,41639.77,7.0
2025-10-02,30.9,63,42157.12,11.0
2025-10-03,29.7,65,42131.20,14.0
2025-10-04,30.0,51,37177.84,7.0
2025-10-05,30.0,61,28990.63,12.0
2025-10-06,29.0,63,29129.72,14.0
2025-10-07,30.3,63,37463.55,19.0
2025-10-08,29.0,53,40476.06,19.0
2025-10-09,28.2,61,32825.54,19.0
2025-10-10,26.5,65,267.84,15.0
2025-10-11,28.4,63,37526.80,12.0
2025-10-12,28.4,61,34518.49,7.0
2025-10-13,29.0,51,40874.21,7.0
2025-10-14,29.2,3,39709.34,0.0
2025-10-15,29.6,53,40450.43,2.0
2025-10-16,29.0,51,34151.04,3.0
2025-10-17,28.5,51,40378.14,2.0
2025-10-18,29.2,3,40603.92,0.0
2025-10-19,29.6,63,38839.80,9.0
2025-10-20,29.4,63,39229.70,10.0
2025-10-21,29.5,53,39719.66,5.0
2025-10-22,29.6,1,39687.64,0.0
2025-10-23,29.9,0,39919.46,0.0
2025-10-24,29.8,51,39363.90,1.0
2025-10-25,28.1,55,36236.01,23.0
2025-10-26,28.0,65,37340.34,22.0
2025-10-27,29.2,53,38713.18,11.0
2025-10-28,29.1,51,38496.48,9.0
2025-10-29,28.1,53,37214.67,8.0
2025-10-30,25.5,3,38059.39,0.0
2025-10-31,25.9,3,33971.68,0.0
2025-11-01,26.0,3,36814.89,0.0
2025-11-02,28.2,53,36076.71,6.0
2025-11-03,28.6,53,37707.05,8.0
2025-11-04,26.0,51,30978.31,6.0
2025-11-05,28.4,51,32895.73,3.0
2025-11-06,28.0,51,26809.62,7.0
2025-11-07,29.6,53,36000.00,5.0
2025-11-08,29.1,53,36424.14,8.0
2025-11-09,29.6,61,36611.94,2.0
2025-11-10,27.9,51,35888.04,1.0
2025-11-11,20.0,3,36203.80,0.0
2025-11-12,24.0,3,36000.00,0.0
2025-11-13,24.6,51,36234.46,1.0
2025-11-14,26.1,3,36522.86,0.0
2025-11-15,26.8,3,36811.61,0.0
2025-11-16,27.8,2,36550.41,0.0
2025-11-17,27.5,3,36838.69,0.0
2025-11-18,27.4,1,36574.95,0.0
2025-11-19,28.4,3,36309.44,0.0
2025-11-20,27.4,51,36319.20,5.0
2025-11-21,27.3,2,36605.67,0.0
2025-11-22,28.1,51,36336.09,1.0
2025-11-23,28.5,0,36343.23,0.0
2025-11-24,27.2,51,36000.00,8.0
2025-11-25,27.0,51,36075.47,3.0
2025-11-26,28.3,53,36079.56,15.0
2025-11-27,27.9,53,28105.96,10.0
2025-11-28,22.5,3,14683.58,0.0
2025-11-29,24.6,55,30620.14,9.0
2025-11-30,24.6,61,34255.86,17.0
2025-12-01,27.2,51,36087.96,5.0
2025-12-02,28.1,55,36087.30,6.0
2025-12-03,26.9,3,29168.70,0.0
2025-12-04,26.5,3,36366.92,0.0
2025-12-05,27.5,3,36364.43,0.0
2025-12-06,28.1,51,36361.17,2.0
2025-12-07,27.5,55,36073.02,3.0
2025-12-08,28.3,63,34993.70,9.0
2025-12-09,23.4,61,15551.69,17.0
2025-12-10,26.0,53,35999.88,4.0
2025-12-11,22.0,3,35906.05,0.0
2025-12-12,24.2,3,33257.71,0.0
2025-12-13,26.1,53,25034.14,8.0
2025-12-14,26.8,55,28140.85,16.0
2025-12-15,22.9,55,24964.22,8.0
2025-12-16,23.1,3,36304.45,0.0
2025-12-17,24.5,51,36258.57,3.0
2025-12-18,26.6,55,35662.29,14.0
2025-12-19,28.3,53,34222.18,6.0
2025-12-20,26.5,51,36406.40,2.0
2025-12-21,27.0,51,35786.63,7.0
2025-12-22,25.8,3,36027.44,0.0
2025-12-23,25.4,53,36268.68,3.0
2025-12-24,24.8,2,36797.33,0.0
2025-12-25,26.0,51,36226.54,6.0
2025-12-26,26.0,1,36995.98,0.0
2025-12-27,26.3,0,37239.86,0.0
2025-12-28,26.6,2,37197.95,0.0
2025-12-29,27.1,2,37443.72,0.0
2025-12-30,21.0,3,34829.68,0.0
2025-12-31,17.5,1,37527.27,0.0
