latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.434093,25.372341,7.0,10800,Europe/Athens,GMT+3

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,27.5,1,45121.54,0.0
2025-09-02,28.8,0,45161.55,0.0
2025-09-03,29.0,0,44910.26,0.0
2025-09-04,26.7,3,43816.71,0.0
2025-09-05,26.8,0,44119.66,0.0
2025-09-06,26.0,0,43871.77,0.0
2025-09-07,25.4,0,43624.94,0.0
2025-09-08,25.2,1,43669.19,0.0
2025-09-09,26.0,3,43423.91,0.0
2025-09-10,28.1,0,43429.78,0.0
2025-09-11,28.8,0,43136.52,0.0
2025-09-12,29.0,0,43062.13,0.0
2025-09-13,26.4,0,43012.82,0.0
2025-09-14,24.8,0,42963.46,0.0
2025-09-15,24.7,0,42914.04,0.0
2025-09-16,25.2,0,42864.54,0.0
2025-09-17,27.0,0,42814.93,0.0
2025-09-18,23.7,0,42765.22,0.0
2025-09-19,23.7,0,42715.38,0.0
2025-09-20,23.8,0,42665.39,0.0
2025-09-21,24.0,0,42615.25,0.0
2025-09-22,23.8,0,42564.93,0.0
2025-09-23,25.2,0,42514.43,0.0
2025-09-24,26.0,0,42463.72,0.0
2025-09-25,25.1,3,41305.46,0.0
2025-09-26,23.5,3,41119.76,0.0
2025-09-27,22.2,3,41727.17,0.0
2025-09-28,21.7,3,17234.83,0.0
2025-09-29,20.8,61,19294.46,6.0
2025-09-30,21.8,1,41169.39,0.0
2025-10-01,23.0,0,40814.73,0.0
2025-10-02,24.1,3,20408.17,0.0
2025-10-03,23.1,63,31948.15,10.0
2025-10-04,22.5,51,40042.74,3.0
2025-10-05,23.0,51,39980.69,1.0
2025-10-06,24.8,53,34187.59,8.0
2025-10-07,20.7,61,36000.00,19.0
2025-10-08,19.1,53,38414.00,10.0
2025-10-09,20.9,3,38595.23,0.0
2025-10-10,22.6,3,38377.14,0.0
2025-10-11,22.5,2,37864.11,0.0
2025-10-12,19.9,3,32862.10,0.0
2025-10-13,21.0,3,37422.31,0.0
2025-10-14,21.8,3,36919.76,0.0
2025-10-15,21.3,1,36977.75,0.0
2025-10-16,20.7,3,36160.01,0.0
2025-10-17,21.9,51,36000.00,1.0
2025-10-18,21.5,55,28800.00,4.0
2025-10-19,21.8,53,3600.00,6.0
2025-10-20,19.2,63,3600.00,18.0
2025-10-21,21.2,61,33859.45,9.0
2025-10-22,22.9,51,36000.00,1.0
2025-10-23,21.2,61,21181.50,10.0
2025-10-24,23.7,51,36000.00,1.0
2025-10-25,23.2,3,36000.00,0.0
2025-10-26,22.9,3,36000.00,0.0
2025-10-27,25.0,3,36000.00,0.0
2025-10-28,22.7,1,36000.00,0.0
2025-10-29,20.4,0,36000.00,0.0
2025-10-30,19.6,1,36000.00,0.0
2025-10-31,20.6,3,35714.04,0.0
2025-11-01,20.5,51,31973.12,1.0
2025-11-02,20.5,3,36000.00,0.0
2025-11-03,21.5,3,36000.00,0.0
2025-11-04,22.9,3,35923.36,0.0
2025-11-05,21.1,53,31930.34,3.0
2025-11-06,19.7,3,34978.32,0.0
2025-11-07,20.0,51,36000.00,3.0
2025-11-08,22.0,3,36000.00,0.0
2025-11-09,23.2,3,36000.00,0.0
2025-11-10,23.3,63,36000.00,2.0
2025-11-11,22.2,63,36000.00,3.0
2025-11-12,20.1,51,36000.00,4.0
2025-11-13,19.0,3,35965.52,0.0
2025-11-14,19.5,0,35900.84,0.0
2025-11-15,19.1,0,35836.34,0.0
2025-11-16,20.3,3,35772.11,0.0
2025-11-17,22.0,3,35708.23,0.0
2025-11-18,22.4,3,34331.56,0.0
2025-11-19,21.7,3,13967.37,0.0
2025-11-20,22.2,3,35519.57,0.0
2025-11-21,22.5,3,35430.91,0.0
2025-11-22,23.0,3,29960.79,0.0
2025-11-23,21.1,3,26438.17,0.0
2025-11-24,18.5,3,35165.88,0.0
2025-11-25,19.4,51,32509.26,2.0
2025-11-26,20.2,55,29082.07,7.0
2025-11-27,21.6,1,34856.07,0.0
2025-11-28,20.8,63,29725.40,7.0
2025-11-29,18.0,61,31301.11,10.0
2025-11-30,18.0,3,33916.82,0.0
2025-12-01,17.9,1,33938.67,0.0
2025-12-02,18.0,3,33293.15,0.0
2025-12-03,17.8,51,25707.28,1.0
2025-12-04,19.1,63,21932.08,6.0
2025-12-05,17.5,63,18237.81,17.0
2025-12-06,17.7,53,9643.02,7.0
2025-12-07,16.8,51,31552.28,5.0
2025-12-08,17.1,3,32780.50,0.0
2025-12-09,15.2,3,26252.69,0.0
2025-12-10,15.7,3,32166.61,0.0
2025-12-11,16.8,3,32535.55,0.0
2025-12-12,16.7,0,32567.86,0.0
2025-12-13,16.4,1,32601.14,0.0
2025-12-14,15.6,2,32636.23,0.0
2025-12-15,15.2,2,32673.24,0.0
2025-12-16,15.4,3,32712.06,0.0
2025-12-17,16.5,3,32414.09,0.0
2025-12-18,16.5,1,32456.04,0.0
2025-12-19,16.5,3,32296.99,0.0
2025-12-20,15.6,3,549.90,0.0
2025-12-21,15.6,51,29994.57,8.0
2025-12-22,16.7,3,32386.78,0.0
2025-12-23,16.0,3,32400.00,0.0
2025-12-24,17.9,51,23006.48,4.0
2025-12-25,19.0,53,32400.00,6.0
2025-12-26,16.3,51,32400.00,4.0
2025-12-27,13.3,51,16312.65,5.0
2025-12-28,16.1,3,32400.00,0.0
2025-12-29,13.8,3,28800.00,0.0
2025-12-30,16.5,53,29739.74,4.0
2025-12-31,15.4,51,11770.90,3.0
