latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
7.908612,98.37031,23.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,28.8,63,19631.31,16.0
2025-09-02,30.4,53,39855.82,3.0
2025-09-03,28.1,63,32583.51,16.0
2025-09-04,27.1,63,2470.27,23.0
2025-09-05,28.5,63,38883.41,18.0
2025-09-06,29.8,63,39841.80,15.0
2025-09-07,28.3,63,24387.58,17.0
2025-09-08,28.5,61,24112.75,21.0
2025-09-09,26.7,61,0.00,17.0
2025-09-10,29.8,51,33121.47,5.0
2025-09-11,29.0,61,39600.00,7.0
2025-09-12,28.6,63,31366.39,11.0
2025-09-13,29.1,63,23765.15,19.0
2025-09-14,27.8,61,27492.13,12.0
2025-09-15,28.2,63,34030.04,15.0
2025-09-16,30.1,53,39617.06,4.0
2025-09-17,30.5,63,26901.60,5.0
2025-09-18,28.4,63,19273.05,18.0
2025-09-19,30.1,51,39600.00,10.0
2025-09-20,30.4,51,42035.67,4.0
2025-09-21,30.4,3,42043.84,0.0
2025-09-22,30.5,51,41854.00,4.0
2025-09-23,30.5,51,39600.00,5.0
2025-09-24,30.5,3,36588.23,0.0
2025-09-25,30.5,51,39656.12,3.0
2025-09-26,30.6,53,37446.35,6.0
2025-09-27,30.1,63,26930.17,7.0
2025-09-28,28.3,63,28084.46,16.0
2025-09-29,26.6,63,0.00,21.0
2025-09-30,28.9,63,36504.22,8.0
2025-10-01,30.0,63,24524.99,13.0
2025-10-02,30.7,51,40357.10,9.0
2025-10-03,30.1,53,37468.40,10.0
2025-10-04,29.0,63,36100.89,7.0
2025-10-05,31.1,61,40659.79,4.0
2025-10-06,30.2,51,42146.52,4.0
2025-10-07,31.2,51,40891.02,5.0
2025-10-08,29.8,61,24301.11,5.0
2025-10-09,28.0,61,14851.91,4.0
2025-10-10,29.0,61,30908.00,6.0
2025-10-11,29.3,51,39955.28,10.0
2025-10-12,28.8,63,20132.43,16.0
2025-10-13,30.3,53,40190.92,10.0
2025-10-14,31.4,63,32400.00,4.0
2025-10-15,32.0,65,36410.71,9.0
2025-10-16,31.6,65,41842.91,4.0
2025-10-17,30.6,63,34998.80,9.0
2025-10-18,29.5,63,24161.34,12.0
2025-10-19,31.4,63,36282.47,13.0
2025-10-20,30.0,63,15517.92,17.0
2025-10-21,29.5,63,30011.61,15.0
2025-10-22,26.8,65,0.00,18.0
2025-10-23,29.3,61,13130.72,20.0
2025-10-24,26.3,61,0.00,20.0
2025-10-25,28.4,63,11111.79,12.0
2025-10-26,29.6,63,32883.20,8.0
2025-10-27,30.9,51,32341.20,4.0
2025-10-28,30.3,53,37360.68,6.0
2025-10-29,28.6,61,5705.65,19.0
2025-10-30,27.9,65,29310.88,22.0
2025-10-31,28.6,65,26787.55,19.0
2025-11-01,29.2,63,41713.12,11.0
2025-11-02,29.6,53,21899.38,4.0
2025-11-03,29.8,61,31720.54,17.0
2025-11-04,30.6,51,39191.90,6.0
2025-11-05,28.5,63,37013.38,16.0
2025-11-06,27.9,63,16534.18,20.0
2025-11-07,28.7,63,32627.44,16.0
2025-11-08,29.5,51,35783.05,6.0
2025-11-09,31.0,51,41561.91,1.0
2025-11-10,30.0,63,39515.85,9.0
2025-11-11,29.3,55,37852.19,11.0
2025-11-12,29.7,51,39600.00,6.0
2025-11-13,30.7,63,39527.34,6.0
2025-11-14,29.5,63,35582.30,6.0
2025-11-15,29.5,53,31291.11,4.0
2025-11-16,30.0,3,41873.45,0.0
2025-11-17,30.6,53,40442.92,2.0
2025-11-18,28.3,51,22253.55,6.0
2025-11-19,29.0,65,24562.19,15.0
2025-11-20,24.9,65,0.00,22.0
2025-11-21,27.0,61,8558.05,18.0
2025-11-22,26.8,61,0.00,20.0
2025-11-23,28.1,61,10800.00,13.0
2025-11-24,26.4,61,0.00,21.0
2025-11-25,25.5,63,0.00,21.0
2025-11-26,28.5,63,13052.95,13.0
2025-11-27,29.4,51,34388.86,3.0
2025-11-28,29.0,3,39600.00,0.0
2025-11-29,28.9,3,40868.09,0.0
2025-11-30,28.9,3,40384.08,0.0
2025-12-01,29.1,51,40149.76,1.0
2025-12-02,29.9,3,40416.84,0.0
2025-12-03,30.1,3,40182.27,0.0
2025-12-04,31.1,51,40450.02,1.0
2025-12-05,29.5,65,33688.16,12.0
2025-12-06,30.5,51,39129.63,3.0
2025-12-07,30.0,61,39743.82,5.0
2025-12-08,30.9,53,39600.00,2.0
2025-12-09,30.8,51,39600.00,5.0
2025-12-10,30.1,3,39791.09,0.0
2025-12-11,31.0,51,39806.53,3.0
2025-12-12,28.2,51,20413.71,3.0
2025-12-13,30.2,51,39600.00,3.0
2025-12-14,30.7,63,37878.52,3.0
2025-12-15,31.0,53,39600.00,4.0
2025-12-16,31.0,63,39600.00,13.0
2025-12-17,31.1,63,39600.00,6.0
2025-12-18,31.3,63,39600.00,9.0
2025-12-19,30.9,51,39600.00,6.0
2025-12-20,31.0,51,39600.00,2.0
2025-12-21,32.3,51,39706.16,1.0
2025-12-22,33.0,3,39721.51,0.0
2025-12-23,32.2,51,39600.00,1.0
2025-12-24,33.5,3,39600.00,0.0
2025-12-25,33.4,53,39600.00,3.0
2025-12-26,30.9,61,30472.95,6.0
2025-12-27,29.5,63,25875.08,13.0
2025-12-28,30.5,61,39600.00,12.0
2025-12-29,30.9,51,39600.00,5.0
2025-12-30,32.0,51,39600.00,6.0
2025-12-31,32.1,3,39600.00,0.0
