latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.203865,-22.884247,6.0,-3600,Atlantic/Cape_Verde,GMT-1

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,27.6,3,37619.89,0.0
2025-09-02,26.8,3,27971.62,0.0
2025-09-03,26.4,3,39629.39,0.0
2025-09-04,26.6,3,39650.75,0.0
2025-09-05,26.7,3,39600.00,0.0
2025-09-06,26.4,51,39600.00,1.0
2025-09-07,26.7,51,39600.00,2.0
2025-09-08,27.2,3,38992.18,0.0
2025-09-09,27.4,51,19478.45,11.0
2025-09-10,27.0,63,32929.91,15.0
2025-09-11,27.5,63,37510.03,14.0
2025-09-12,27.0,3,38879.66,0.0
2025-09-13,27.5,53,19159.55,1.0
2025-09-14,28.0,51,39600.00,2.0
2025-09-15,27.0,3,39600.00,0.0
2025-09-16,26.8,51,39600.00,4.0
2025-09-17,27.6,53,12584.11,7.0
2025-09-18,29.0,51,39600.00,3.0
2025-09-19,28.4,3,39707.21,0.0
2025-09-20,29.0,3,19767.28,0.0
2025-09-21,27.8,3,39600.00,0.0
2025-09-22,27.7,2,39600.00,0.0
2025-09-23,28.1,51,39508.27,6.0
2025-09-24,27.1,51,38409.75,8.0
2025-09-25,27.5,61,37565.36,8.0
2025-09-26,27.8,63,39600.00,6.0
2025-09-27,27.9,3,39600.00,0.0
2025-09-28,27.8,3,39600.00,0.0
2025-09-29,27.1,2,39600.00,0.0
2025-09-30,26.3,3,39600.00,0.0
2025-10-01,27.4,2,39600.00,0.0
2025-10-02,28.4,3,39600.00,0.0
2025-10-03,28.5,51,39600.00,3.0
2025-10-04,27.8,3,39600.00,0.0
2025-10-05,28.5,3,38869.15,0.0
2025-10-06,28.0,3,39600.00,0.0
2025-10-07,27.1,3,39600.00,0.0
2025-10-08,27.0,51,39600.00,3.0
2025-10-09,27.0,3,39600.00,0.0
2025-10-10,26.7,3,38195.66,0.0
2025-10-11,28.0,3,36000.00,0.0
2025-10-12,27.0,3,39600.00,0.0
2025-10-13,26.3,3,39600.00,0.0
2025-10-14,26.3,3,39600.00,0.0
2025-10-15,26.4,3,39600.00,0.0
2025-10-16,26.1,3,39600.00,0.0
2025-10-17,26.9,2,39600.00,0.0
2025-10-18,26.6,3,39600.00,0.0
2025-10-19,27.2,3,39600.00,0.0
2025-10-20,27.2,3,39600.00,0.0
2025-10-21,26.6,3,39600.00,0.0
2025-10-22,26.8,3,39600.00,0.0
2025-10-23,27.0,3,39600.00,0.0
2025-10-24,27.4,3,39600.00,0.0
2025-10-25,27.8,2,39600.00,0.0
2025-10-26,27.8,3,39600.00,0.0
2025-10-27,27.5,3,39593.53,0.0
2025-10-28,27.9,3,39563.87,0.0
2025-10-29,27.0,3,39535.32,0.0
2025-10-30,26.2,3,39507.95,0.0
2025-10-31,26.0,2,39481.81,0.0
2025-11-01,26.2,3,39456.98,0.0
2025-11-02,27.0,3,39433.51,0.0
2025-11-03,27.3,3,33392.00,0.0
2025-11-04,28.1,0,39390.03,0.0
2025-11-05,27.6,0,39369.70,0.0
2025-11-06,27.0,0,39350.34,0.0
2025-11-07,26.5,1,39331.95,0.0
2025-11-08,26.5,1,39314.57,0.0
2025-11-09,25.6,2,38917.52,0.0
2025-11-10,25.8,3,37408.21,0.0
2025-11-11,26.1,3,39202.62,0.0
2025-11-12,27.0,61,37432.48,11.0
2025-11-13,26.5,53,31180.21,9.0
2025-11-14,26.0,51,39232.24,1.0
2025-11-15,25.6,3,39222.37,0.0
2025-11-16,26.0,3,39213.65,0.0
2025-11-17,26.1,3,35606.11,0.0
2025-11-18,26.2,0,39199.77,0.0
2025-11-19,25.8,3,38531.48,0.0
2025-11-20,25.0,3,38927.43,0.0
2025-11-21,25.2,3,39188.13,0.0
2025-11-22,25.8,3,39186.80,0.0
2025-11-23,27.1,53,35249.89,13.0
2025-11-24,25.3,63,4658.80,14.0
2025-11-25,27.0,51,34190.55,4.0
2025-11-26,26.2,3,39195.62,0.0
2025-11-27,25.8,2,39201.31,0.0
2025-11-28,24.9,3,37636.98,0.0
2025-11-29,24.4,3,39060.32,0.0
2025-11-30,24.6,3,32576.66,0.0
2025-12-01,25.9,51,16616.95,2.0
2025-12-02,24.5,63,6233.21,13.0
2025-12-03,24.5,53,30946.94,9.0
2025-12-04,24.5,51,21871.22,1.0
2025-12-05,25.0,61,25565.37,7.0
2025-12-06,24.8,51,28084.76,1.0
2025-12-07,24.6,3,38826.15,0.0
2025-12-08,24.5,1,39339.48,0.0
2025-12-09,24.5,3,39357.75,0.0
2025-12-10,25.0,3,37229.41,0.0
2025-12-11,24.5,3,34033.75,0.0
2025-12-12,24.2,3,37745.20,0.0
2025-12-13,23.6,3,36945.23,0.0
2025-12-14,23.8,51,39057.70,1.0
2025-12-15,24.1,51,39485.14,7.0
2025-12-16,24.2,3,39510.62,0.0
2025-12-17,23.7,3,39537.30,0.0
2025-12-18,23.6,3,15349.34,0.0
2025-12-19,23.2,3,35993.91,0.0
2025-12-20,23.3,51,39600.00,1.0
2025-12-21,23.4,3,39600.00,0.0
2025-12-22,22.8,51,27341.43,1.0
2025-12-23,22.9,3,29259.58,0.0
2025-12-24,22.5,3,2196.59,0.0
2025-12-25,22.5,3,36347.51,0.0
2025-12-26,22.1,1,39540.66,0.0
2025-12-27,22.2,1,39513.86,0.0
2025-12-28,21.9,2,39488.09,0.0
2025-12-29,22.8,0,39463.46,0.0
2025-12-30,23.8,1,39440.05,0.0
2025-12-31,24.1,3,38187.99,0.0
