latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.295254,-16.53061,1883.0,3600,Atlantic/Canary,GMT+1

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,20.3,1,43200.00,0.0
2025-09-02,19.4,1,43200.00,0.0
2025-09-03,21.6,0,43200.00,0.0
2025-09-04,23.4,1,43200.00,0.0
2025-09-05,23.4,0,43200.00,0.0
2025-09-06,25.4,0,43200.00,0.0
2025-09-07,26.0,51,43200.00,4.0
2025-09-08,23.1,63,43200.00,22.0
2025-09-09,17.0,51,36785.89,1.0
2025-09-10,17.2,1,43200.00,0.0
2025-09-11,19.7,2,43200.00,0.0
2025-09-12,20.4,2,43200.00,0.0
2025-09-13,22.4,2,43200.00,0.0
2025-09-14,24.5,3,43200.00,0.0
2025-09-15,27.1,51,43200.00,1.0
2025-09-16,26.5,2,43200.00,0.0
2025-09-17,25.5,63,43200.00,7.0
2025-09-18,26.6,63,40862.69,18.0
2025-09-19,24.0,61,39600.00,6.0
2025-09-20,22.2,3,43200.00,0.0
2025-09-21,22.9,61,43185.94,4.0
2025-09-22,16.8,3,42445.25,0.0
2025-09-23,14.8,3,43046.10,0.0
2025-09-24,14.4,51,42976.84,3.0
2025-09-25,15.1,3,42907.16,0.0
2025-09-26,17.3,3,42811.11,0.0
2025-09-27,19.7,0,42710.73,0.0
2025-09-28,19.5,3,42610.08,0.0
2025-09-29,17.2,3,42428.11,0.0
2025-09-30,15.3,51,40148.38,3.0
2025-10-01,15.5,3,42307.05,0.0
2025-10-02,16.9,3,41923.59,0.0
2025-10-03,19.8,55,42104.83,3.0
2025-10-04,22.8,1,42003.86,0.0
2025-10-05,23.2,2,41903.06,0.0
2025-10-06,18.5,3,40630.37,0.0
2025-10-07,18.9,2,41425.02,0.0
2025-10-08,23.1,0,41165.11,0.0
2025-10-09,22.5,0,41168.15,0.0
2025-10-10,18.4,1,40906.11,0.0
2025-10-11,18.2,2,40113.48,0.0
2025-10-12,17.2,2,40112.96,0.0
2025-10-13,17.3,51,38782.39,2.0
2025-10-14,17.8,3,38816.82,0.0
2025-10-15,16.2,63,30041.30,7.0
2025-10-16,17.3,51,30496.94,2.0
2025-10-17,19.2,53,39299.76,4.0
2025-10-18,19.6,51,29830.09,6.0
2025-10-19,18.3,2,34981.36,0.0
2025-10-20,18.9,3,39014.23,0.0
2025-10-21,18.2,2,39006.50,0.0
2025-10-22,19.8,2,38998.07,0.0
2025-10-23,19.3,3,38720.07,0.0
2025-10-24,18.1,3,38477.18,0.0
2025-10-25,19.0,3,38579.07,0.0
2025-10-26,20.3,3,38530.35,0.0
2025-10-27,22.2,51,36169.58,3.0
2025-10-28,17.6,3,37767.51,0.0
2025-10-29,16.0,53,36000.00,5.0
2025-10-30,15.4,53,35567.85,9.0
2025-10-31,14.5,51,37572.53,5.0
2025-11-01,19.7,3,38289.77,0.0
2025-11-02,23.7,3,38174.81,0.0
2025-11-03,24.0,3,29108.74,0.0
2025-11-04,25.0,3,38160.38,0.0
2025-11-05,20.3,3,37429.35,0.0
2025-11-06,13.2,51,30974.59,1.0
2025-11-07,17.3,3,37483.78,0.0
2025-11-08,17.4,2,37511.42,0.0
2025-11-09,14.9,3,36570.76,0.0
2025-11-10,13.6,51,33107.38,5.0
2025-11-11,13.1,3,36197.90,0.0
2025-11-12,15.5,53,27498.89,4.0
2025-11-13,11.2,63,25304.94,18.0
2025-11-14,11.6,3,36275.23,0.0
2025-11-15,13.5,3,36582.70,0.0
2025-11-16,15.2,3,36000.00,0.0
2025-11-17,13.9,3,36352.76,0.0
2025-11-18,12.5,3,36095.37,0.0
2025-11-19,11.0,3,36000.00,0.0
2025-11-20,9.6,51,27339.06,6.0
2025-11-21,9.1,63,25467.52,12.0
2025-11-22,8.5,53,31408.76,13.0
2025-11-23,16.2,51,36000.00,1.0
2025-11-24,16.2,63,36000.00,5.0
2025-11-25,14.3,53,36000.00,6.0
2025-11-26,12.2,3,36000.00,0.0
2025-11-27,9.9,3,36000.00,0.0
2025-11-28,11.0,3,36000.00,0.0
2025-11-29,11.0,51,36000.00,2.0
2025-11-30,10.8,3,36000.00,0.0
2025-12-01,10.9,3,33379.51,0.0
2025-12-02,10.0,3,36000.00,0.0
2025-12-03,9.1,51,35386.11,6.0
2025-12-04,10.0,3,36000.00,0.0
2025-12-05,10.1,3,36000.00,0.0
2025-12-06,9.5,63,36000.00,8.0
2025-12-07,12.6,51,36000.00,1.0
2025-12-08,13.3,2,36000.00,0.0
2025-12-09,14.5,3,36000.00,0.0
2025-12-10,11.9,51,25700.81,5.0
2025-12-11,12.1,3,36000.00,0.0
2025-12-12,7.5,53,32344.04,11.0
2025-12-13,3.1,73,8894.93,24.0
2025-12-14,8.3,53,34623.20,13.0
2025-12-15,10.2,3,36000.00,0.0
2025-12-16,13.1,3,34856.68,0.0
2025-12-17,9.5,3,36000.00,0.0
2025-12-18,11.7,3,36000.00,0.0
2025-12-19,10.7,51,36000.00,3.0
2025-12-20,9.9,3,36000.00,0.0
2025-12-21,9.7,3,36000.00,0.0
2025-12-22,9.6,3,36000.00,0.0
2025-12-23,9.7,2,36000.00,0.0
2025-12-24,9.5,51,36000.00,4.0
2025-12-25,8.3,3,35996.31,0.0
2025-12-26,8.7,3,35970.96,0.0
2025-12-27,9.9,3,35947.12,0.0
2025-12-28,9.9,3,33983.46,0.0
2025-12-29,10.3,3,35718.58,0.0
2025-12-30,12.5,2,35885.49,0.0
2025-12-31,15.0,3,35868.55,0.0
