destination,month,maxTemperature,sunshineHours,precipitationHours
Bali,Dec,26.6,9.6,11.5
Bali,Nov,26.8,9.6,9.6
Bali,Oct,27.8,10.6,8.5
Bali,Sep,26.9,10.5,7.7
Bangkok,Dec,32.4,10.3,0.7
Bangkok,Nov,30.1,8.5,4.7
Bangkok,Oct,31.7,9.3,6.0
Bangkok,Sep,30.8,8.2,10.9
Cancun,Dec,27.8,10.2,3.9
Cancun,Nov,28.2,10.2,6.1
Cancun,Oct,30.2,9.8,7.7
Cancun,Sep,31.9,10.5,5.6
Dubrovnik,Dec,14.7,7.1,2.6
Dubrovnik,Nov,16.3,6.2,8.0
Dubrovnik,Oct,19.5,8.4,3.6
Dubrovnik,Sep,26.1,10.7,1.8
Holetown,Dec,29.4,10.4,7.2
Holetown,Nov,30.6,10.6,6.4
Holetown,Oct,32.0,10.5,8.2
Holetown,Sep,32.2,11.2,6.9
Ibiza,Dec,15.8,7.7,4.4
Ibiza,Nov,18.6,8.7,1.5
Ibiza,Oct,23.6,9.4,2.8
Ibiza,Sep,27.6,10.4,1.9
Maldives,Dec,28.3,10.4,6.9
Maldives,Nov,28.3,10.2,6.5
Maldives,Oct,28.9,9.3,8.6
Maldives,Sep,29.0,11.5,6.0
Miami,Dec,25.6,9.5,3.8
Miami,Nov,26.9,9.6,3.8
Miami,Oct,29.0,10.2,8.6
Miami,Sep,29.8,9.1,9.2
Mykonos,Dec,16.5,7.7,2.3
Mykonos,Nov,20.9,9.3,1.4
Mykonos,Oct,21.9,9.2,3.3
Mykonos,Sep,25.4,11.5,0.2
Phuket,Dec,30.9,10.6,4.1
Phuket,Nov,28.8,7.8,9.8
Phuket,Oct,29.7,7.8,10.8
Phuket,Sep,29.2,8.4,10.9
Sal,Dec,23.8,9.1,1.4
Sal,Nov,26.1,10.2,1.7
Sal,Oct,27.2,10.9,0.2
Sal,Sep,27.4,9.9,2.9
Tenerife,Dec,10.4,9.6,2.4
Tenerife,Nov,14.5,9.6,2.4
Tenerife,Oct,18.7,10.7,1.5
Tenerife,Sep,21.0,11.8,2.3
