destination,country,month,origin_airport,arrival_airport,arrival_airport_name,average_price_gbp,cheapest_price_gbp,highest_price_gbp,average_duration_minutes,average_duration_hours,average_stops,flight_options_count
Bali,Indonesia,Sep,LHR,DPS,Ngurah Rai International Airport,873.0,785.0,1025.0,1157.0,19.28,1.0,3
Bali,Indonesia,Oct,LHR,DPS,Ngurah Rai International Airport,845.0,845.0,845.0,1180.0,19.67,1.0,1
Bali,Indonesia,Nov,LHR,DPS,Ngurah Rai International Airport,875.0,875.0,875.0,1192.0,19.86,1.0,1
Bali,Indonesia,Dec,LHR,DPS,Ngurah Rai International Airport,1065.0,1065.0,1065.0,1214.0,20.24,1.0,1
Bangkok,Thailand,Sep,LHR,BKK,Suvarnabhumi Airport,655.67,633.0,696.0,917.0,15.28,1.0,3
Bangkok,Thailand,Oct,LHR,BKK,Suvarnabhumi Airport,630.0,630.0,630.0,935.0,15.59,1.0,1
Bangkok,Thailand,Nov,LHR,BKK,Suvarnabhumi Airport,655.0,655.0,655.0,944.0,15.74,1.0,1
Bangkok,Thailand,Dec,LHR,BKK,Suvarnabhumi Airport,785.0,785.0,785.0,962.0,16.04,1.0,1
Cancun,Mexico,Sep,LHR,CUN,Cancún International Airport,741.5,714.0,768.0,903.0,15.05,1.0,4
Cancun,Mexico,Oct,LHR,CUN,Cancún International Airport,695.0,695.0,695.0,921.0,15.35,1.0,1
Cancun,Mexico,Nov,LHR,CUN,Cancún International Airport,755.0,755.0,755.0,930.0,15.5,1.0,1
Cancun,Mexico,Dec,LHR,CUN,Cancún International Airport,920.0,920.0,920.0,948.0,15.8,1.0,1
Dubrovnik,Croatia,Sep,LHR,DBV,Dubrovnik Ruđer Bošković Airport,208.5,196.0,245.0,276.0,4.61,0.75,4
Dubrovnik,Croatia,Oct,LHR,DBV,Dubrovnik Ruđer Bošković Airport,185.0,185.0,185.0,282.0,4.7,1.0,1
Dubrovnik,Croatia,Nov,LHR,DBV,Dubrovnik Ruđer Bošković Airport,170.0,170.0,170.0,285.0,4.75,1.0,1
Dubrovnik,Croatia,Dec,LHR,DBV,Dubrovnik Ruđer Bošković Airport,200.0,200.0,200.0,290.0,4.84,1.0,1
Holetown,Barbados,Sep,LHR,BGI,Grantley Adams International Airport,676.33,652.0,690.0,670.0,11.16,0.33,3
Holetown,Barbados,Oct,LHR,BGI,Grantley Adams International Airport,645.0,645.0,645.0,683.0,11.38,0.0,1
Holetown,Barbados,Nov,LHR,BGI,Grantley Adams International Airport,710.0,710.0,710.0,689.0,11.49,0.0,1
Holetown,Barbados,Dec,LHR,BGI,Grantley Adams International Airport,865.0,865.0,865.0,703.0,11.72,0.0,1
Ibiza,Spain,Sep,LHR,IBZ,Ibiza Airport,228.75,194.0,322.0,310.0,5.16,0.75,4
Ibiza,Spain,Oct,LHR,IBZ,Ibiza Airport,190.0,190.0,190.0,316.0,5.27,1.0,1
Ibiza,Spain,Nov,LHR,IBZ,Ibiza Airport,180.0,180.0,180.0,320.0,5.33,1.0,1
Ibiza,Spain,Dec,LHR,IBZ,Ibiza Airport,215.0,215.0,215.0,326.0,5.43,1.0,1
Maldives,Maldives,Sep,LHR,CMB,Bandaranaike International Airport,887.67,726.0,1101.0,750.0,12.5,0.67,3
Maldives,Maldives,Oct,LHR,CMB,Bandaranaike International Airport,870.0,870.0,870.0,765.0,12.75,1.0,1
Maldives,Maldives,Nov,LHR,CMB,Bandaranaike International Airport,960.0,960.0,960.0,773.0,12.88,1.0,1
